tag,x,y
"가디건",141.67,644167
"롱가디건",2240.78,54291
"기본티",585.98,103576
"남친룩",34.69,874565
"롱드레스",1210.76,26524
"박서준",46.3,700783
"지오지아박서준",923.84,10158
"박서준패션",5851.31,4635
"블라우스",6.77,918764
"빈티지",21.22,2395223
"합정빈티지샵",5103,1468
"스니커즈",56.01,735804
"여친선물",31.36,1082562
"속옷",151.49,245661
"운동화",65.22,1036632
"원피스",4.49,3121010
"롱원피스",11.75,517167
"데일리코디",15.32,2964325
"코트",82.68,762495
"남자코트",1493.04,70233
"패션",4.29,19873085
"데일리패션",25.07,1940598
"패션위크",446.91,270566
"패피남",68.16,145678
"훈남",8.04,2615611
"공스타그램",27.58,2410427
"북스타그램",21.48,2418017
"코덕소통",864.36,9601
"육아일상",5.2,4245888
"밥스타그램",20.46,952394
"빵스타그램",28.05,2034545
"술스타그램",3.65,9829838
"요리",4.76,3530556
"요리스타그램",15.26,2541564
"음식",9.09,3139548
"음식스타그램",18.21,1452145
"인스타푸드",16.53,2578908
"커피스타그램",3.83,3335362
"쿡스타그램",24.46,1364369
"푸드",12,916123
"푸드스타그램",12.1,3155373
"혼밥",22.77,1675494
"홈쿡",5.51,2538126
"도치맘",13.01,13596456
"독박육아",12.58,1900948
"등원룩",24.64,2845944
"딸맘",4.15,5091411
"딸바보",5.52,7044149
"딸스타그램",2.91,17993031
"맘스타그램",4.7,15242028
"문센룩",9.47,1706058
"베이비그램",10.61,4378732
"베이비스타그램",5.13,6102951
"아기스타그램",4.31,4684585
"아들맘",6.18,9533358
"아들바보",9.34,4648978
"아들스타그램",10.84,15446136
"애스타그램",2.93,16026399
"예비맘",22.57,2303826
"워킹맘",6.26,5231211
"육아스타그램",1.91,24163166
"육아템",7.55,1589132
"육아일기",6.87,5119827
"육아그램",7.73,3887572
"육아",4.02,26787731
"육아맘",5.46,14486084
"젊줌마",3.72,9170397
"줌마스타그램",35.21,2380766
"줌스타그램",44.59,2780006
"초보맘",4.78,2402082
"다이어트",2.26,13866599
"식단",4.53,1373987
"요가",11.75,1888443
"잠실요가",2380.69,7391
"신촌요가",1047.44,3004
"운동하는남자",13.84,3562920
"운동하는여자",2.41,5699714
"운동",2.66,10418383
"전신샷",11.21,2825720
"필라테스",11.6,2145287
"강남필라테스",745.69,50653
"선릉필라테스",2033.41,3937
"왕십리필라테스",1488.36,3476
"잠실필라테스",1133.8,14875
"신촌필라테스",1060.17,5101
"역삼필라테스",898.71,5729
"홍대필라테스",865.98,12910
"잠실새내필라테스",2281.77,2527
"헬스타그램",6.97,4882370
"헬스",8.95,4200604
"잠실헬스",4688.57,4692
"강아지",8.78,12929488
"강남강아지분양",201.94,29833
"개린이",20.98,1802261
"개스타그램",8.18,10276047
"고양이",13.47,14381250
"냥스타그램",15.03,10471556
"댕댕이",19.4,4388714
"독스타그램",15.2,6090530
"멍스타그램",10.35,18005361
"반려견",10.91,13830065
"펫스타그램",10,7540812
"가족여행",13.66,4202011
"말레이시아",28.34,454872
"방콕",31.64,1763944
"방콕여행",17.23,396174
"베트남",14.1,1913090
"베트남여행",38.29,382253
"부산여행",12.51,2790068
"싱가포르",94.71,480815
"제주도여행",8.07,3287917
"여행에미치다",2.46,5414948
"제주여행",8.23,4276931
"유럽여행",19.21,3345548
"여행스타그램",5.97,21209318
"태국여행",40.25,419206
"일본여행",16.57,2756878
"치앙마이",168.55,245963
"태국",16.41,1820515
"가방",22.85,2489380
"남친선물",112,679052
"니트",56.99,1289168
"인피니트",60.75,1187642
"댄디",358.95,99152
"데일리룩",4.93,41844728
"모던룩",54.62,321074
"남자셔츠",131.84,79448
"셔츠",35,682760
"티셔츠",68.1,613565
"와이셔츠",3096.46,18514
"수트",11.9,447479
"스커트",89.36,506800
"스트릿패션",18.57,1538734
"시계",140.09,1466330
"악세사리",16.6,2116441
"이대악세사리",193.97,3378
"옷스타그램",8.08,17007663
"홍대옷가게",100.96,64312
"데일리원피스",9.84,67588
"커플룩",6.5,1922438
"패션스타그램",4.39,6370899
"패션피플",3.45,998157
"서울패션위크",136.69,329342
"하객룩",4.19,1496066
"훈남룩",2738.36,16533
"그림스타그램",20.6,1742434
"육아소통",3.08,20519554
"책스타그램",20.3,2446981
"슬랙스",18.73,306376
"신발",17.58,2191041
"여친룩",49.9,899937
"오오티디",1.52,27858200
"오피스룩",5.92,1212902
"옷",6.41,3364426
"강남옷가게",1147,28362
"랩원피스",143.04,94904
"일상룩",17.29,1337153
"자켓",16.78,655290
"청바지",61.22,1016736
"코디",18.03,4464074
"트렌치코트",26.81,383495
"인스타패션",8.92,1535451
"연예인패션",9.72,394934
"패피",24.36,2761493
"육아맘일상",12.79,1803369
"일상",0.75,173779359
beauty,2.37,311184001
makeup,1.49,227600366
"메이크업",2.6,3069588
"베이스메이크업",211.22,19486
"메이크업베이스",434.92,16501
"강남메이크업",532.32,26408
"홍대메이크업",313.23,17070
"뷰스타그램",10.54,1325198
"뷰티스타그램",3.19,3436706
"뷰티",2.12,5799869
"뷰티그램",15.89,779952
"손스타그램",42.59,2275818
"코덕",15.29,1524638
"코덕그램",128.02,18025
"화장품",9.57,2301824
"합정태국음식",4459.19,121
"해외여행",12.68,1518629
"호치민",73.28,342269
"호치민여행",2160.77,42381
"홍콩",31.68,2563183
"홍콩디저트",2598.25,2769
"강남붙임머리",300.08,198459
"강남반영구",14.06,397566
"강남눈썹문신",36.71,434266
"강남",3.7,11962126
"강남네일",12.47,247168
"강남맘",14.51,231962
"강남미용실",43.74,240881
"강남역미용실",83.14,73188
"강남카페",38.78,365364
"강남메이드테이블",423.68,716470
"강남자연눈썹",234.82,206288
"강남술집",60.82,442323
"강남데이트",54.55,107193
"강남속눈썹연장",75.23,167005
"강남속눈썹",85.57,194417
"내아이디는강남미인",410.57,38314
"강남꽃집",24.32,168031
"강남역반영구",95.97,16719
"강남반영구수강",132.06,32202
"강남반영구학원",215.46,73963
"강남메이드클럽",87.72,590447
"강남타투",51.96,186570
"강남헤어라인",436.12,32413
"강남네일샵",189.49,87208
"강남핫플레이스",270.66,76741
"강남속눈썹펌",85.76,70993
"강남회식장소",37.03,34118
"강남꽃배달",76.29,37475
"강남반영구눈썹",298.11,14635
"강남역데이트",74.99,57354
"강남미용실추천",134.51,16583
"클럽강남메이드",666.57,194591
"강남눈썹반영구",338.54,28842
"강남메이드게스트신청",682.91,199509
"강남역속눈썹",186.01,42247
"강남남자눈썹문신",201.2,17039
"강남이자카야",107.12,24673
"강남메이드무료입장",884.78,415336
"강남구청",54.22,98346
"강남왁싱",162.92,112157
"강남데이트코스",291.47,27055
"강남역회식장소",60.88,39319
"강남한복",2825.34,16728
"강남반영구화장",210.42,92099
"강남pt",361.09,54907
"강남뷰러펌",192.13,8027
"강남피부과",597.79,24743
"강남회식",779.56,21729
"강남플라워레슨",104.14,40547
"강남역클럽",70.82,55274
"강남역네일샵",587.46,54670
"강남구청역맛집",314.01,30912
"강남메이드테이블예약",548.19,188821
"강남클럽",58.64,3172599
"강남구",65.79,124021
"강남눈썹",157.19,99016
"강남구청역",361.01,71619
"강남역술집",23.66,96068
"강남역눈썹문신",442.36,14194
"강남메이드",82.74,2735493
"강남프로필사진",1359.63,24495
"강남클럽메이드",99.83,304944
"강남곱창",1159.87,21385
"강남마카롱",489.92,16279
"강남남자눈썹",577.3,13406
"강남구청맛집",481.51,38632
"강변역맛집",239.05,11751
"강변역",3216.53,25591
"강변역초밥",1807.99,100
"건대입구",73.87,397351
"건대입구맛집",441.54,50267
"건대입구역맛집",528.6,12952
"건대입구역",306.13,46034
"건대입구술집",126.86,1680
"건대입구카페",3443.98,4089
"롯데시네마건대입구",2050.97,4562
"건대입구네일",3103.08,2401
"건대입구데이트",230.64,448
"건대입구핫플",100.93,42
"건대입구왁싱",2585.7,69
"건대입구원룸",4270.66,156
"건대입구삼겹살",5566.11,22
"건대입구양꼬치",4030.99,30
"건대입구피자",14218.96,10
"교대",113.31,178596
"교대역맛집",112.28,20012
"교대속눈썹",589.89,11809
"교대맛집",283.21,58241
"교대카페",1271.03,11465
"교대역",618.45,54444
"교대네일",677.22,32022
"서울교대",2669.22,12430
"교대꽃집",2357.97,13926
"교대반영구",2792.87,1402
"교대생",2544.52,4807
"교대속눈썹연장",463.96,1008
"교대이층집",4208.58,14467
"교대마사지",3771.3,895
"교대점심",4810.13,735
"교대가죽공방",2656.09,824
"교대치과",11221.79,581
"교대역속눈썹",2133.94,286
"교대역마사지",9167.55,420
"교대역치과",6797.41,4023
"교대전자담배",1017.46,171
"교대사무실",6333.56,16
"구디",247.58,99883
"대구디저트",392.15,34534
"대구디저트카페",470.23,20980
"구디맛집",226.45,52577
"구디속눈썹",2486.92,4155
"구디카페",4174.61,6744
"구디역",3545.98,7224
"구디pt",5271.76,2237
"구디술집",3458.66,3976
"구디속눈썹연장",2039.65,2290
"구디미용실",2777.46,3078
"구디단",4419.23,6913
"구디역맛집",6028.55,2264
"구디점심",3849.78,678
"구디왁싱",837.35,392
"구디단맛집",4656.46,630
"구디파스타",1759.23,359
"구디데이트",639.4,231
"구디직장인",3896.86,201
"구디참치",6102.54,108
"구의",1555.4,49503
"구의동맛집",691.78,24835
"구의동",347.59,57950
"구의맛집",1274.67,18781
"구의역",2981.03,33415
"구의동네일",1196.38,13155
"구의역맛집",2305.16,13786
"구의카페",1607.73,6159
"구의동꽃집",1691.61,3674
"구의술집",6273.6,1332
"구의역속눈썹",4950.42,759
"구의공원",3102.53,624
"구의동배달",5201.9,50
"구의동맘",12402.73,47
"낙성대맛집",319.08,39948
"낙성대",84.68,156941
"낙성대네일",333.44,14387
"낙성대꽃집",191.11,7016
"낙성대카페",2292.47,14033
"낙성대역",557.82,21012
"낙성대미용실",1181.78,10182
"낙성대속눈썹",1374.34,3654
"낙성대공원",2523.29,6996
"낙성대역미용실",1621.58,2172
"낙성대동",9766.66,4188
"낙성대태닝",2410.03,74
"낙성대족발",3286.54,123
"낙성대연극",2962.11,255
"당산",111.31,98881
"당산역",1052.33,39467
"당산맛집",511.54,37339
"당산역맛집",847.64,17887
"당산동",2840.89,20980
"당산미용실",2513.28,3174
"당산역카페",6372.29,2178
"당산헬스",5609.5,2708
"당산빵집",10438.94,744
"당산다이어트",2950.05,205
"당산떡집",2094.41,252
"당산안경",4326.14,45
"대림",1955.86,41657
"성수동대림창고",741.89,4193
"대림동",4243.53,19841
"대림역",5417.87,13720
"대림맛집",3508.29,6446
"대림동맛집",3743.94,5929
"대림역맛집",2493.68,2514
"대림훠궈",1370.18,217
"대림동속눈썹",2405.39,611
"대림웨딩홀",8331.91,340
"대림맛집추천",5254.67,41
"동대문역사문화공원",2049.17,48282
"동대문역사문화공원역",4967.14,11153
"동대문역사문화공원맛집",4984.9,1593
"동대문역사문화공원역맛집",4723,1338
"뚝섬",12.15,257453
"뚝섬유원지",57.48,203887
"뚝섬카페",265.24,31416
"뚝섬맛집",248,27150
"뚝섬한강공원",181.27,26298
"뚝섬역",1740.84,42690
"뚝섬역맛집",2921.84,20626
"뚝섬역카페",3860.99,9873
"뚝섬유원지맛집",3855.93,2951
"뚝섬데이트",1064.11,708
"한강뚝섬",2685.39,1021
"뚝섬술집",3062.43,281
"뚝섬역자전거매장",2239.26,371
"뚝섬나들이",3023.24,341
"뚝섬캔들공방",4284.46,78
"백종원의골목식당뚝섬",6218.41,15
"뚝섬역8번출구",5715.4,135
"문래",917.71,57739
"문래동",376.12,126235
"문래동맛집",1242.63,46885
"문래창작촌",663.66,47732
"문래맛집",1057.2,27797
"문래역",3792.82,17280
"문래동꽃집",4634.56,6865
"올드문래",3916.46,13150
"문래술집",4119.91,1300
"문래동루프탑",4706.03,142
"문래창작촌꽃집",1699.44,177
"문래동곱창",1647.21,723
"문래떡집",1875.63,214
"밀크티",33.95,788987
"방배",128.2,144176
"방배동",144.88,229319
"방배동맛집",356.69,50105
"방배동카페",942.27,26923
"방배맛집",62.83,21987
"방배동미용실",393.36,10012
"방배동꽃집",2571.85,42689
"방배미용실",1401.39,7516
"방배꽃집",383.87,16429
"방배카페",1063.15,8123
"방배역",1479.95,55069
"방배맘",3232.47,4883
"방배역미용실",1064.47,5117
"방배동카페골목",3473.37,18841
"방배네일",3734.52,16131
"방배동네일",2335.8,14801
"방배사이길",4184.6,13393
"방배역맛집",3301.8,7748
"방배카페골목",2943.26,6839
"방배동속눈썹펌",8640.75,1414
"방배동pt",8450.44,2650
"방배동인테리어",4145.91,1933
"방배동꽃배달",345.02,1055
"방배동핫플",2145.37,1117
"준오헤어방배2호점",4567.9,1478
"방배pt",5961.62,3339
"방배점",8716.01,2551
"방배동피부관리실",8841.85,1371
"방배동술집",3133.29,2002
"방배헬스",5227.11,3267
"방배호빠",70.31,88783
"방배동카페거리",5345.22,973
"방배동헬스",7446.73,3045
"방배타투",3356.87,2732
"방배동사이길",7562.94,3573
"방배동성당",1601.86,1305
"방배카페거리",3171.27,759
"새마을휘트니스방배점",8794.25,3618
"방배동타투",2552.12,852
"방배동맘",1059.83,668
"방배술집",4588.67,457
"방배피티",8390.19,708
"방배스튜디오",4954.63,568
"방배역치과",3719.56,790
"방배동헤어샵",955.59,569
"방배동원룸",3056.73,25
"팀방배",1818.26,229
"방배동족발",1428.27,580
"방배조개창고",3193.7,569
"방배동보쌈",2075.37,418
"방배동42길",15148.03,317
"방배웨딩홀",2417.15,50
"방배동성인용품",9197.58,110
"방배1호점",11933.24,19
"방배동안경",8494.83,26
"방배동pc방",9418.01,13
"봉천동",336.08,61484
"봉천",920.89,66064
"봉천동맛집",403.66,22610
"봉천동꽃집",493.54,5385
"봉천맛집",2487.79,6222
"봉천역맛집",2686.5,7693
"봉천속눈썹",1058.85,2871
"봉천역",1613.86,17846
"봉천애견미용",105.87,1368
"봉천동원룸",931.29,1503
"봉천동태닝",421.75,1152
"봉천동족발",3093.68,1082
"봉천예술관",5108.26,1221
"봉천동인테리어",1931.83,616
"봉천역속눈썹",2610.89,41
"봉천동야식",1424.61,607
"봉천동보쌈",1398.98,486
"봉천황소곱창",4018.79,55
"사당",160.32,338408
"사당맛집",236.8,100689
"사당역",176.77,106355
"사당역맛집",537.05,39938
"사당네일",83.93,23745
"사당족발",60.21,1120
"국회의사당",489.59,106136
"사당카페",756.41,23047
"사당눈썹문신",636.77,9686
"국회의사당맛집",544.13,4931
"사당반영구",275.82,12621
"사당속눈썹",702.46,15053
"사당미용실",934.76,11135
"사당역카페",1848.05,10831
"사당동",1307.36,38631
"사당꽃집",1218.61,13472
"사당술집",5442.46,7341
"사당속눈썹펌",4826.97,3229
"사당역미용실",1374.69,5938
"사당댄스학원",2226.31,1238
"국회의사당역",2320.55,10149
"사당댄스",1402.32,489
"사당메이크업",652.35,1671
"사당눈썹",195.43,625
"사당동맛집",4792.32,9087
"사당역술집",1292.54,7045
"사당동네일",2800.91,6414
"사당동카페",4294.54,5627
"사당맛집추천",2402.18,2936
"사당맘",5078.06,3814
"국회의사당역맛집",2260.07,2513
"사당역데이트",2877.45,588
"사당연습실",2286.46,4383
"사당동떡집",10663.99,1318
"사당허벌라이프",3649.26,1382
"사당다이어트",3704.64,663
"사당점핑",3466.97,921
"사당맥주",3319.43,545
"사당곱창",2520.3,811
"사당호빠",2234.79,266421
"사당피부관리",5756.52,861
"사당역맛집추천",2501.68,560
"사당역고기집",3608.9,841
"사당태닝",1663.53,206
"사당원룸",2876.93,369
"사당역요가",857.62,340
"사당웨딩홀",5885.62,174
"사당허벌",9053.34,168
"사당마사지",2777.14,3321
"사당역피부관리",7083.56,54
"사당포장",16144.47,31
"사당키스방",4296.62,6459
"사당동성인용품",5035.82,323
"사당역만화카페",18990.48,38
"사당동웨딩홀",3181.84,21
"삼성역",44.03,312676
"삼성역맛집",283.95,44156
"삼성역카페",1201.47,8775
"삼성역회식",2108.34,880
"삼성역술집",2426.36,1127
"삼성역맛집추천",2560.51,1044
"이대삼성홀",5748.53,3866
"삼성역헬스",701.91,640
"삼성역포토스팟",3771.98,50
"상왕십리",3197.88,23754
"상왕십리맛집",4991.69,4817
"상왕십리미용실",1361.11,2341
