tag,x,y
"가디건",743,141.67
"롱가디건",585,2240.78
"기본티",628,585.98
"남친룩",511,34.69
"롱드레스",2246,1210.76
"박서준",2488,46.3
"지오지아박서준",1694,923.84
"박서준패션",3497,5851.31
"블라우스",691,6.77
"빈티지",686,21.22
"합정빈티지샵",108,5103
"스니커즈",769,56.01
"여친선물",647,31.36
"속옷",2078,151.49
"운동화",1424,65.22
"원피스",308,4.49
"롱원피스",326,11.75
"데일리코디",887,15.32
"코트",382,82.68
"남자코트",3799,1493.04
"패션",459,4.29
"데일리패션",893,25.07
"패션위크",2028,446.91
"패피남",399,68.16
"훈남",873,8.04
"공스타그램",760,27.58
"북스타그램",913,21.48
"코덕소통",2221,864.36
"육아일상",335,5.2
"밥스타그램",437,20.46
"빵스타그램",277,28.05
"술스타그램",269,3.65
"요리",238,4.76
"요리스타그램",629,15.26
"음식",704,9.09
"음식스타그램",355,18.21
"인스타푸드",725,16.53
"커피스타그램",436,3.83
"쿡스타그램",1534,24.46
"푸드",215,12
"푸드스타그램",637,12.1
"혼밥",421,22.77
"홈쿡",428,5.51
"도치맘",1059,13.01
"독박육아",834,12.58
"등원룩",1101,24.64
"딸맘",305,4.15
"딸바보",269,5.52
"딸스타그램",366,2.91
"맘스타그램",421,4.7
"문센룩",453,9.47
"베이비그램",276,10.61
"베이비스타그램",180,5.13
"아기스타그램",539,4.31
"아들맘",410,6.18
"아들바보",268,9.34
"아들스타그램",1032,10.84
"애스타그램",324,2.93
"예비맘",280,22.57
"워킹맘",1216,6.26
"육아스타그램",212,1.91
"육아템",502,7.55
"육아일기",816,6.87
"육아그램",511,7.73
"육아",634,4.02
"육아맘",1276,5.46
"젊줌마",298,3.72
"줌마스타그램",760,35.21
"줌스타그램",850,44.59
"초보맘",248,4.78
"다이어트",408,2.26
"식단",202,4.53
"요가",658,11.75
"잠실요가",226,2380.69
"신촌요가",248,1047.44
"운동하는남자",762,13.84
"운동하는여자",200,2.41
"운동",289,2.66
"전신샷",947,11.21
"필라테스",1059,11.6
"강남필라테스",4067,745.69
"선릉필라테스",1253,2033.41
"왕십리필라테스",591,1488.36
"잠실필라테스",356,1133.8
"신촌필라테스",1292,1060.17
"역삼필라테스",959,898.71
"홍대필라테스",644,865.98
"잠실새내필라테스",130,2281.77
"헬스타그램",613,6.97
"헬스",482,8.95
"잠실헬스",1288,4688.57
"강아지",732,8.78
"강남강아지분양",891,201.94
"개린이",1455,20.98
"개스타그램",741,8.18
"고양이",2507,13.47
"냥스타그램",3996,15.03
"댕댕이",851,19.4
"독스타그램",1068,15.2
"멍스타그램",764,10.35
"반려견",1511,10.91
"펫스타그램",1217,10
"가족여행",648,13.66
"말레이시아",187,28.34
"방콕",2142,31.64
"방콕여행",440,17.23
"베트남",547,14.1
"베트남여행",1132,38.29
"부산여행",266,12.51
"싱가포르",576,94.71
"제주도여행",720,8.07
"여행에미치다",186,2.46
"제주여행",925,8.23
"유럽여행",2200,19.21
"여행스타그램",673,5.97
"태국여행",740,40.25
"일본여행",681,16.57
"치앙마이",214,168.55
"태국",1013,16.41
"가방",773,22.85
"남친선물",949,112
"니트",866,56.99
"인피니트",465,60.75
"댄디",1194,358.95
"데일리룩",290,4.93
"모던룩",485,54.62
"남자셔츠",1051,131.84
"셔츠",465,35
"티셔츠",3008,68.1
"와이셔츠",1169,3096.46
"수트",410,11.9
"스커트",1744,89.36
"스트릿패션",1712,18.57
"시계",1279,140.09
"악세사리",420,16.6
"이대악세사리",25,193.97
"옷스타그램",437,8.08
"홍대옷가게",894,100.96
"데일리원피스",381,9.84
"커플룩",415,6.5
"패션스타그램",304,4.39
"패션피플",267,3.45
"서울패션위크",1062,136.69
"하객룩",229,4.19
"훈남룩",744,2738.36
"그림스타그램",2033,20.6
"육아소통",332,3.08
"책스타그램",1255,20.3
"슬랙스",497,18.73
"신발",649,17.58
"여친룩",1494,49.9
"오오티디",152,1.52
"오피스룩",273,5.92
"옷",328,6.41
"강남옷가게",482,1147
"랩원피스",429,143.04
"일상룩",433,17.29
"자켓",318,16.78
"청바지",1103,61.22
"코디",1101,18.03
"트렌치코트",233,26.81
"인스타패션",561,8.92
"연예인패션",646,9.72
"패피",1146,24.36
"육아맘일상",879,12.79
"일상",165,0.75
beauty,2452,2.37
makeup,588,1.49
"메이크업",143,2.6
"베이스메이크업",2341,211.22
"메이크업베이스",4869,434.92
"강남메이크업",1056,532.32
"홍대메이크업",306,313.23
"뷰스타그램",1902,10.54
"뷰티스타그램",355,3.19
"뷰티",169,2.12
"뷰티그램",2054,15.89
"손스타그램",544,42.59
"코덕",1761,15.29
"코덕그램",1147,128.02
"화장품",986,9.57
"합정태국음식",152,4459.19
"해외여행",436,12.68
"호치민",610,73.28
"호치민여행",1115,2160.77
"홍콩",433,31.68
"홍콩디저트",384,2598.25
"강남붙임머리",2813,300.08
"강남반영구",932,14.06
"강남눈썹문신",1018,36.71
"강남",235,3.7
"강남네일",574,12.47
"강남맘",440,14.51
"강남미용실",1718,43.74
"강남역미용실",1650,83.14
"강남카페",829,38.78
"강남메이드테이블",2880,423.68
"강남자연눈썹",2016,234.82
"강남술집",1273,60.82
"강남데이트",512,54.55
"강남속눈썹연장",709,75.23
"강남속눈썹",683,85.57
"내아이디는강남미인",2415,410.57
"강남꽃집",323,24.32
"강남역반영구",1666,95.97
"강남반영구수강",1044,132.06
"강남반영구학원",1350,215.46
"강남메이드클럽",2097,87.72
"강남타투",790,51.96
"강남헤어라인",2438,436.12
"강남네일샵",950,189.49
"강남핫플레이스",2730,270.66
"강남속눈썹펌",1617,85.76
"강남회식장소",513,37.03
"강남꽃배달",457,76.29
"강남반영구눈썹",2417,298.11
"강남역데이트",453,74.99
"강남미용실추천",1048,134.51
"클럽강남메이드",2831,666.57
"강남눈썹반영구",1722,338.54
"강남메이드게스트신청",2493,682.91
"강남역속눈썹",1317,186.01
"강남남자눈썹문신",828,201.2
"강남이자카야",339,107.12
"강남메이드무료입장",2436,884.78
"강남구청",233,54.22
"강남왁싱",647,162.92
"강남데이트코스",1366,291.47
"강남역회식장소",536,60.88
"강남한복",1642,2825.34
"강남반영구화장",1006,210.42
"강남pt",1521,361.09
"강남뷰러펌",876,192.13
"강남피부과",4132,597.79
"강남회식",1183,779.56
"강남플라워레슨",280,104.14
"강남역클럽",1889,70.82
"강남역네일샵",868,587.46
"강남구청역맛집",946,314.01
"강남메이드테이블예약",2627,548.19
"강남클럽",1602,58.64
"강남구",767,65.79
