tag,x,y
"가디건",743,0.58
"롱가디건",585,0.02
"기본티",628,0.16
"남친룩",511,1.33
"롱드레스",2246,0.02
"박서준",2488,0.32
"지오지아박서준",1694,0.02
"박서준패션",3497,0
"블라우스",691,1.36
"빈티지",686,0.87
"합정빈티지샵",108,0
"스니커즈",769,0.34
"여친선물",647,1.12
"속옷",2078,0.12
"운동화",1424,1.03
"원피스",308,2.4
"롱원피스",326,0.66
"데일리코디",887,1.32
"코트",382,0.52
"남자코트",3799,0.02
"패션",459,4.01
"데일리패션",893,0.68
"패션위크",2028,0.17
"패피남",399,0.23
"훈남",873,1.27
"공스타그램",760,1.31
"북스타그램",913,0
"코덕소통",2221,0.02
"육아일상",335,4.48
"밥스타그램",437,0.9
"빵스타그램",277,0.46
"술스타그램",269,3.35
"요리",238,1.5
"요리스타그램",629,0.01
"음식",704,2.34
"음식스타그램",355,0.95
"인스타푸드",725,1.68
"커피스타그램",436,2.28
"쿡스타그램",1534,0.4
"푸드",215,0.52
"푸드스타그램",637,0.6
"혼밥",421,0.55
"홈쿡",428,0
"도치맘",1059,5.24
"독박육아",834,1.66
"등원룩",1101,4.46
"딸맘",305,4.99
"딸바보",269,3.79
"딸스타그램",366,5.95
"맘스타그램",421,2.93
"문센룩",453,2.86
"베이비그램",276,3.35
"베이비스타그램",180,2.54
"아기스타그램",539,4
"아들맘",410,3.39
"아들바보",268,2.09
"아들스타그램",1032,1.71
"애스타그램",324,4.52
"예비맘",280,0.76
"워킹맘",1216,4.57
"육아스타그램",212,6.43
"육아템",502,3.41
"육아일기",816,4.64
"육아그램",511,3.6
"육아",634,6.07
"육아맘",1276,6.27
"젊줌마",298,4.86
"줌마스타그램",760,1.05
"줌스타그램",850,0.82
"초보맘",248,2.45
"다이어트",408,5.39
"식단",202,1.86
"요가",658,1.87
"잠실요가",226,0.02
"신촌요가",248,0.01
"운동하는남자",762,2.11
"운동하는여자",200,3.98
"운동",289,4.7
"전신샷",947,0.96
"필라테스",1059,0.53
"강남필라테스",4067,0.04
"선릉필라테스",1253,0.01
"왕십리필라테스",591,0.01
"잠실필라테스",356,0.02
"신촌필라테스",1292,0.01
"역삼필라테스",959,0.01
"홍대필라테스",644,0.01
"잠실새내필라테스",130,0
"헬스타그램",613,1.85
"헬스",482,1.58
"잠실헬스",1288,0.01
"강아지",732,3.04
"강남강아지분양",891,0.03
"개린이",1455,1.26
"개스타그램",741,4.45
"고양이",2507,5.4
"냥스타그램",3996,4.41
"댕댕이",851,5.14
"독스타그램",1068,2.42
"멍스타그램",764,4.57
"반려견",1511,5.35
"펫스타그램",1217,3.94
"가족여행",648,1.27
"말레이시아",187,0.19
"방콕",2142,0.98
"방콕여행",440,0.24
"베트남",547,1.46
"베트남여행",1132,0.63
"부산여행",266,0.83
"싱가포르",576,0.2
"제주도여행",720,2.57
"여행에미치다",186,3.47
"제주여행",925,3.8
"유럽여행",2200,2.37
"여행스타그램",673,4.03
"태국여행",740,0.37
"일본여행",681,0.01
"치앙마이",214,0.15
"태국",1013,0.58
"가방",773,1.33
"남친선물",949,0.32
"니트",866,0.37
"인피니트",465,0.14
"댄디",1194,0.04
"데일리룩",290,2.46
"모던룩",485,0.52
"남자셔츠",1051,0.13
"셔츠",465,0.26
"티셔츠",3008,0.72
"와이셔츠",1169,0.01
"수트",410,0.42
"스커트",1744,0.33
"스트릿패션",1712,0.64
"시계",1279,0.36
"악세사리",420,0.47
"이대악세사리",25,0
"옷스타그램",437,4.8
"홍대옷가게",894,0.27
"데일리원피스",381,0.14
"커플룩",415,2.18
"패션스타그램",304,4.08
"패션피플",267,1.21
"서울패션위크",1062,0.09
"하객룩",229,1.86
"훈남룩",744,0.01
"그림스타그램",2033,0.7
"육아소통",332,5.98
"책스타그램",1255,2.18
"슬랙스",497,0.45
"신발",649,1.76
"여친룩",1494,1.48
"오오티디",152,3.88
"오피스룩",273,1.22
"옷",328,1.99
"강남옷가게",482,0.06
"랩원피스",429,0.13
"일상룩",433,1.44
"자켓",318,1.38
"청바지",1103,1.35
"코디",1101,1.4
"트렌치코트",233,0.42
"인스타패션",561,1.58
"연예인패션",646,0.61
"패피",1146,1.23
"육아맘일상",879,1.76
"일상",165,4.23
beauty,2452,4.93
makeup,588,5.89
"메이크업",143,1.94
"베이스메이크업",2341,0.03
"메이크업베이스",4869,0.02
"강남메이크업",1056,0.03
"홍대메이크업",306,0.01
"뷰스타그램",1902,1.61
"뷰티스타그램",355,3.49
"뷰티",169,4.17
"뷰티그램",2054,0.47
"손스타그램",544,0.43
"코덕",1761,0.6
"코덕그램",1147,0.03
"화장품",986,1.83
"합정태국음식",152,0
"해외여행",436,0
"호치민",610,0.34
"호치민여행",1115,0.07
"홍콩",433,0.45
"홍콩디저트",384,0
"강남붙임머리",2813,0.52
"강남반영구",932,0.36
"강남눈썹문신",1018,0.32
"강남",235,2.8
"강남네일",574,0.49
"강남맘",440,0.62
"강남미용실",1718,0.19
"강남역미용실",1650,0.07
"강남카페",829,0.4
"강남메이드테이블",2880,0.04
"강남자연눈썹",2016,0.17
"강남술집",1273,0.62
"강남데이트",512,0.17
"강남속눈썹연장",709,0.14
"강남속눈썹",683,0.1
"내아이디는강남미인",2415,0.03
"강남꽃집",323,0.19
"강남역반영구",1666,0.02
"강남반영구수강",1044,0.03
"강남반영구학원",1350,0.07
"강남메이드클럽",2097,0.09
"강남타투",790,0.12
"강남헤어라인",2438,0.02
"강남네일샵",950,0.09
"강남핫플레이스",2730,0.11
"강남속눈썹펌",1617,0.05
"강남회식장소",513,0.06
"강남꽃배달",457,0.05
"강남반영구눈썹",2417,0.03
"강남역데이트",453,0.07
"강남미용실추천",1048,0.02
"클럽강남메이드",2831,0.11
"강남눈썹반영구",1722,0.02
"강남메이드게스트신청",2493,0.04
"강남역속눈썹",1317,0.04
"강남남자눈썹문신",828,0.03
"강남이자카야",339,0.05
"강남메이드무료입장",2436,0.04
"강남구청",233,0.08
"강남왁싱",647,0.07
"강남데이트코스",1366,0.02
"강남역회식장소",536,0.07
"강남한복",1642,0.02
"강남반영구화장",1006,0.06
"강남pt",1521,0.04
"강남뷰러펌",876,0.03
"강남피부과",4132,0.03
"강남회식",1183,0.05
"강남플라워레슨",280,0.05
"강남역클럽",1889,0.2
"강남역네일샵",868,0.04
"강남구청역맛집",946,0.05
"강남메이드테이블예약",2627,0.02
"강남클럽",1602,1.22
"강남구",767,0.09
"강남눈썹",958,0.05
"강남구청역",476,0.04
"강남역술집",527,0.5
"강남역눈썹문신",1282,0.02
"강남메이드",2674,0.62
"강남프로필사진",2363,0.02
"강남클럽메이드",1529,0.02
"강남곱창",4089,0.01
"강남마카롱",904,0.04
"강남남자눈썹",1300,0.03
"강남구청맛집",731,0.03
"강변역맛집",238,0.03
"강변역",656,0.02
"강변역초밥",205,0
"건대입구",682,0.85
"건대입구맛집",3033,0.58
"건대입구역맛집",3856,0.55
"건대입구역",783,0.04
"건대입구술집",188,0
"건대입구카페",384,0
"롯데시네마건대입구",3818,0
"건대입구네일",236,0.01
"건대입구데이트",133,0
"건대입구핫플",248,0
"건대입구왁싱",259,0
"건대입구원룸",30,0
"건대입구삼겹살",171,0
"건대입구양꼬치",57,0
"건대입구피자",30,0
"교대",380,0.14
"교대역맛집",1052,0.03
"교대속눈썹",882,0.01
"교대맛집",719,0.04
"교대카페",1483,0.02
"교대역",872,0.04
"교대네일",447,0.03
"서울교대",228,0.02
"교대꽃집",511,0.01
"교대반영구",1756,0
"교대생",336,0.01
"교대속눈썹연장",631,0
"교대이층집",379,0.01
"교대마사지",550,0
"교대점심",640,0
"교대가죽공방",79,0
"교대치과",156,0
"교대역속눈썹",104,0
"교대역마사지",264,0
"교대역치과",92,0
"교대전자담배",40,0
"교대사무실",9,0
"구디",689,0.08
"대구디저트",498,0.05
"대구디저트카페",751,0.05
"구디맛집",585,0.06
"구디속눈썹",618,0.01
"구디카페",358,0.01
"구디역",416,0
"구디pt",338,0
"구디술집",260,0
"구디속눈썹연장",353,0
"구디미용실",384,0
"구디단",274,0
"구디역맛집",371,0
"구디점심",125,0
"구디왁싱",213,0
"구디단맛집",167,0
"구디파스타",60,0
"구디데이트",159,0
"구디직장인",231,0
"구디참치",39,0
"구의",849,0.04
"구의동맛집",666,0.03
"구의동",275,0.05
"구의맛집",1108,0.02
"구의역",480,0.02
"구의동네일",478,0.01
"구의역맛집",794,0.02
"구의카페",661,0.01
"구의동꽃집",332,0.01
"구의술집",172,0
"구의역속눈썹",131,0
"구의공원",45,0
"구의동배달",49,0
"구의동맘",19,0
"낙성대맛집",1310,0.06
"낙성대",218,0.15
"낙성대네일",901,0.02
"낙성대꽃집",407,0.01
"낙성대카페",557,0.02
"낙성대역",206,0.02
"낙성대미용실",458,0.01
"낙성대속눈썹",1108,0
"낙성대공원",362,0.01
"낙성대역미용실",128,0
"낙성대동",222,0
"낙성대태닝",159,0
"낙성대족발",378,0
"낙성대연극",16,0
"당산",568,0.08
"당산역",570,0.03
"당산맛집",1127,0.05
"당산역맛집",1211,0.04
"당산동",1320,0.01
"당산미용실",1273,0
"당산역카페",633,0.01
"당산헬스",748,0
"당산빵집",603,0
"당산다이어트",51,0
"당산떡집",5,0
"당산안경",19,0
"대림",587,0.03
"성수동대림창고",820,0.01
"대림동",464,0.02
"대림역",499,0.01
"대림맛집",1157,0.01
"대림동맛집",195,0.01
"대림역맛집",256,0
"대림훠궈",183,0
"대림동속눈썹",31,0
"대림웨딩홀",35,0
"대림맛집추천",83,0
"동대문역사문화공원",773,0.02
"동대문역사문화공원역",776,0.01
"동대문역사문화공원맛집",653,0
"동대문역사문화공원역맛집",1374,0
"뚝섬",161,0.29
"뚝섬유원지",286,0.23
"뚝섬카페",467,0.07
"뚝섬맛집",1375,0.05
"뚝섬한강공원",492,0.08
"뚝섬역",474,0.04
"뚝섬역맛집",1093,0.05
"뚝섬역카페",408,0.01
"뚝섬유원지맛집",787,0.01
"뚝섬데이트",212,0
"한강뚝섬",74,0
"뚝섬술집",61,0
"뚝섬역자전거매장",14,0
"뚝섬나들이",154,0
"뚝섬캔들공방",121,0
"백종원의골목식당뚝섬",56,0
"뚝섬역8번출구",40,0
"문래",1088,0.07
"문래동",827,0.1
"문래동맛집",535,0.05
"문래창작촌",999,0.05
"문래맛집",575,0.03
"문래역",969,0.01
"문래동꽃집",167,0.01
"올드문래",250,0.01
"문래술집",392,0
"문래동루프탑",43,0
"문래창작촌꽃집",27,0
"문래동곱창",259,0
"문래떡집",20,0
"밀크티",629,1.14
"방배",854,0.13
"방배동",864,0.16
"방배동맛집",1070,0.11
"방배동카페",504,0.04
"방배맛집",278,0.05
"방배동미용실",546,0.02
"방배동꽃집",486,0.03
"방배미용실",2134,0.01
"방배꽃집",373,0.02
"방배카페",1135,0.02
"방배역",289,0.02
"방배맘",444,0.01
"방배역미용실",1058,0.01
"방배동카페골목",228,0.02
"방배네일",208,0.02
"방배동네일",228,0.01
"방배사이길",236,0.01
"방배역맛집",660,0.02
"방배카페골목",376,0.01
"방배동속눈썹펌",875,0
"방배동pt",2053,0
"방배동인테리어",320,0
"방배동꽃배달",248,0
"방배동핫플",306,0
"준오헤어방배2호점",1303,0
"방배pt",166,0
"방배점",214,0
"방배동피부관리실",429,0
"방배동술집",178,0
"방배헬스",128,0
"방배호빠",1422,0.83
"방배동카페거리",244,0
"방배동헬스",854,0
"방배타투",198,0
"방배동사이길",146,0
"방배동성당",355,0
"방배카페거리",179,0
"새마을휘트니스방배점",126,0
"방배동타투",113,0
"방배동맘",208,0
"방배술집",173,0
"방배피티",162,0
