tag,x,y
"가디건",743,28
"롱가디건",585,1
"기본티",628,7
"남친룩",511,101
"롱드레스",2246,4
"박서준",2488,28
"지오지아박서준",1694,2
"박서준패션",3497,0
"블라우스",691,88
"빈티지",686,15
"합정빈티지샵",108,0
"스니커즈",769,8
"여친선물",647,51
"속옷",2078,5
"운동화",1424,24
"원피스",308,39
"롱원피스",326,22
"데일리코디",887,35
"코트",382,10
"남자코트",3799,5
"패션",459,53
"데일리패션",893,18
"패션위크",2028,11
"패피남",399,9
"훈남",873,51
"공스타그램",760,17
"북스타그램",913,0
"코덕소통",2221,4
"육아일상",335,74
"밥스타그램",437,27
"빵스타그램",277,17
"술스타그램",269,95
"요리",238,45
"요리스타그램",629,0
"음식",704,43
"음식스타그램",355,33
"인스타푸드",725,50
"커피스타그램",436,68
"쿡스타그램",1534,16
"푸드",215,18
"푸드스타그램",637,14
"혼밥",421,15
"홈쿡",428,0
"도치맘",1059,72
"독박육아",834,83
"등원룩",1101,126
"딸맘",305,60
"딸바보",269,80
"딸스타그램",366,49
"맘스타그램",421,110
"문센룩",453,46
"베이비그램",276,93
"베이비스타그램",180,52
"아기스타그램",539,87
"아들맘",410,66
"아들바보",268,48
"아들스타그램",1032,64
"애스타그램",324,96
"예비맘",280,30
"워킹맘",1216,137
"육아스타그램",212,213
"육아템",502,143
"육아일기",816,137
"육아그램",511,62
"육아",634,50
"육아맘",1276,46
"젊줌마",298,188
"줌마스타그램",760,36
"줌스타그램",850,22
"초보맘",248,57
"다이어트",408,32
"식단",202,75
"요가",658,64
"잠실요가",226,1
"신촌요가",248,0
"운동하는남자",762,124
"운동하는여자",200,69
"운동",289,62
"전신샷",947,49
"필라테스",1059,21
"강남필라테스",4067,6
"선릉필라테스",1253,2
"왕십리필라테스",591,1
"잠실필라테스",356,1
"신촌필라테스",1292,1
"역삼필라테스",959,1
"홍대필라테스",644,1
"잠실새내필라테스",130,0
"헬스타그램",613,45
"헬스",482,25
"잠실헬스",1288,1
"강아지",732,52
"강남강아지분양",891,3
"개린이",1455,33
"개스타그램",741,83
"고양이",2507,43
"냥스타그램",3996,57
"댕댕이",851,93
"독스타그램",1068,64
"멍스타그램",764,54
"반려견",1511,52
"펫스타그램",1217,75
"가족여행",648,22
"말레이시아",187,18
"방콕",2142,33
"방콕여행",440,14
"베트남",547,37
"베트남여행",1132,25
"부산여행",266,24
"싱가포르",576,12
"제주도여행",720,206
"여행에미치다",186,96
"제주여행",925,76
"유럽여행",2200,69
"여행스타그램",673,61
"태국여행",740,21
"일본여행",681,0
