tag,x,y
"가디건",743,0.44
"롱가디건",585,0.16
"기본티",628,0.7
"남친룩",511,1.15
"롱드레스",2246,1.4
"박서준",2488,0.4
"지오지아박서준",1694,1.71
"박서준패션",3497,0.52
"블라우스",691,0.95
"빈티지",686,0.06
"합정빈티지샵",108,0.59
"스니커즈",769,0.12
"여친선물",647,0.47
"속옷",2078,0.19
"운동화",1424,0.23
"원피스",308,0.12
"롱원피스",326,0.42
"데일리코디",887,0.12
"코트",382,0.13
"남자코트",3799,0.77
"패션",459,0.03
"데일리패션",893,0.09
"패션위크",2028,0.4
"패피남",399,0.61
"훈남",873,0.19
"공스타그램",760,0.07
"북스타그램",913,0
"코덕소통",2221,3.87
"육아일상",335,0.17
"밥스타그램",437,0.28
"빵스타그램",277,0.08
"술스타그램",269,0.1
"요리",238,0.13
"요리스타그램",629,0
"음식",704,0.14
"음식스타그램",355,0.23
"인스타푸드",725,0.2
"커피스타그램",436,0.2
"쿡스타그램",1534,0.12
"푸드",215,0.19
"푸드스타그램",637,0.05
"혼밥",421,0.09
"홈쿡",428,0
"도치맘",1059,0.05
"독박육아",834,0.43
"등원룩",1101,0.44
"딸맘",305,0.12
"딸바보",269,0.11
"딸스타그램",366,0.03
"맘스타그램",421,0.07
"문센룩",453,0.27
"베이비그램",276,0.21
"베이비스타그램",180,0.09
"아기스타그램",539,0.19
"아들맘",410,0.07
"아들바보",268,0.1
"아들스타그램",1032,0.04
"애스타그램",324,0.06
"예비맘",280,0.13
"워킹맘",1216,0.26
"육아스타그램",212,0.09
"육아템",502,0.9
"육아일기",816,0.27
"육아그램",511,0.16
"육아",634,0.02
"육아맘",1276,0.03
"젊줌마",298,0.21
"줌마스타그램",760,0.15
"줌스타그램",850,0.08
"초보맘",248,0.24
"다이어트",408,0.02
"식단",202,0.54
"요가",658,0.34
"잠실요가",226,0.8
"신촌요가",248,1.26
"운동하는남자",762,0.35
"운동하는여자",200,0.12
"운동",289,0.06
"전신샷",947,0.17
"필라테스",1059,0.1
"강남필라테스",4067,1.23
"선릉필라테스",1253,3.87
"왕십리필라테스",591,4.22
"잠실필라테스",356,0.8
"신촌필라테스",1292,2.31
"역삼필라테스",959,1.54
"홍대필라테스",644,0.55
