tag,x,y
"가디건",141.67,0.58
"롱가디건",2240.78,0.02
"기본티",585.98,0.16
"남친룩",34.69,1.33
"롱드레스",1210.76,0.02
"박서준",46.3,0.32
"지오지아박서준",923.84,0.02
"박서준패션",5851.31,0
"블라우스",6.77,1.36
"빈티지",21.22,0.87
"합정빈티지샵",5103,0
"스니커즈",56.01,0.34
"여친선물",31.36,1.12
"속옷",151.49,0.12
"운동화",65.22,1.03
"원피스",4.49,2.4
"롱원피스",11.75,0.66
"데일리코디",15.32,1.32
"코트",82.68,0.52
"남자코트",1493.04,0.02
"패션",4.29,4.01
"데일리패션",25.07,0.68
"패션위크",446.91,0.17
"패피남",68.16,0.23
"훈남",8.04,1.27
"공스타그램",27.58,1.31
"북스타그램",21.48,0
"코덕소통",864.36,0.02
"육아일상",5.2,4.48
"밥스타그램",20.46,0.9
"빵스타그램",28.05,0.46
"술스타그램",3.65,3.35
"요리",4.76,1.5
"요리스타그램",15.26,0.01
"음식",9.09,2.34
"음식스타그램",18.21,0.95
"인스타푸드",16.53,1.68
"커피스타그램",3.83,2.28
"쿡스타그램",24.46,0.4
"푸드",12,0.52
"푸드스타그램",12.1,0.6
"혼밥",22.77,0.55
"홈쿡",5.51,0
"도치맘",13.01,5.24
"독박육아",12.58,1.66
"등원룩",24.64,4.46
"딸맘",4.15,4.99
"딸바보",5.52,3.79
"딸스타그램",2.91,5.95
"맘스타그램",4.7,2.93
"문센룩",9.47,2.86
"베이비그램",10.61,3.35
"베이비스타그램",5.13,2.54
"아기스타그램",4.31,4
"아들맘",6.18,3.39
"아들바보",9.34,2.09
"아들스타그램",10.84,1.71
"애스타그램",2.93,4.52
"예비맘",22.57,0.76
"워킹맘",6.26,4.57
"육아스타그램",1.91,6.43
"육아템",7.55,3.41
"육아일기",6.87,4.64
"육아그램",7.73,3.6
"육아",4.02,6.07
"육아맘",5.46,6.27
"젊줌마",3.72,4.86
"줌마스타그램",35.21,1.05
"줌스타그램",44.59,0.82
"초보맘",4.78,2.45
"다이어트",2.26,5.39
"식단",4.53,1.86
"요가",11.75,1.87
"잠실요가",2380.69,0.02
"신촌요가",1047.44,0.01
"운동하는남자",13.84,2.11
"운동하는여자",2.41,3.98
"운동",2.66,4.7
"전신샷",11.21,0.96
"필라테스",11.6,0.53
"강남필라테스",745.69,0.04
"선릉필라테스",2033.41,0.01
"왕십리필라테스",1488.36,0.01
"잠실필라테스",1133.8,0.02
"신촌필라테스",1060.17,0.01
"역삼필라테스",898.71,0.01
"홍대필라테스",865.98,0.01
"잠실새내필라테스",2281.77,0
"헬스타그램",6.97,1.85
"헬스",8.95,1.58
"잠실헬스",4688.57,0.01
"강아지",8.78,3.04
"강남강아지분양",201.94,0.03
"개린이",20.98,1.26
"개스타그램",8.18,4.45
"고양이",13.47,5.4
"냥스타그램",15.03,4.41
"댕댕이",19.4,5.14
"독스타그램",15.2,2.42
"멍스타그램",10.35,4.57
"반려견",10.91,5.35
"펫스타그램",10,3.94
"가족여행",13.66,1.27
"말레이시아",28.34,0.19
"방콕",31.64,0.98
"방콕여행",17.23,0.24
"베트남",14.1,1.46
"베트남여행",38.29,0.63
"부산여행",12.51,0.83
"싱가포르",94.71,0.2
"제주도여행",8.07,2.57
"여행에미치다",2.46,3.47
"제주여행",8.23,3.8
"유럽여행",19.21,2.37
"여행스타그램",5.97,4.03
"태국여행",40.25,0.37
"일본여행",16.57,0.01
"치앙마이",168.55,0.15
"태국",16.41,0.58
"가방",22.85,1.33
"남친선물",112,0.32
"니트",56.99,0.37
"인피니트",60.75,0.14
"댄디",358.95,0.04
"데일리룩",4.93,2.46
"모던룩",54.62,0.52
"남자셔츠",131.84,0.13
"셔츠",35,0.26
"티셔츠",68.1,0.72
"와이셔츠",3096.46,0.01
"수트",11.9,0.42
"스커트",89.36,0.33
"스트릿패션",18.57,0.64
"시계",140.09,0.36
"악세사리",16.6,0.47
"이대악세사리",193.97,0
"옷스타그램",8.08,4.8
"홍대옷가게",100.96,0.27
"데일리원피스",9.84,0.14
"커플룩",6.5,2.18
"패션스타그램",4.39,4.08
"패션피플",3.45,1.21
"서울패션위크",136.69,0.09
"하객룩",4.19,1.86
"훈남룩",2738.36,0.01
"그림스타그램",20.6,0.7
"육아소통",3.08,5.98
"책스타그램",20.3,2.18
"슬랙스",18.73,0.45
"신발",17.58,1.76
"여친룩",49.9,1.48
"오오티디",1.52,3.88
"오피스룩",5.92,1.22
"옷",6.41,1.99
"강남옷가게",1147,0.06
"랩원피스",143.04,0.13
"일상룩",17.29,1.44
"자켓",16.78,1.38
"청바지",61.22,1.35
"코디",18.03,1.4
"트렌치코트",26.81,0.42
"인스타패션",8.92,1.58
"연예인패션",9.72,0.61
"패피",24.36,1.23
"육아맘일상",12.79,1.76
"일상",0.75,4.23
beauty,2.37,4.93
makeup,1.49,5.89
"메이크업",2.6,1.94
"베이스메이크업",211.22,0.03
"메이크업베이스",434.92,0.02
"강남메이크업",532.32,0.03
"홍대메이크업",313.23,0.01
"뷰스타그램",10.54,1.61
"뷰티스타그램",3.19,3.49
"뷰티",2.12,4.17
"뷰티그램",15.89,0.47
"손스타그램",42.59,0.43
"코덕",15.29,0.6
"코덕그램",128.02,0.03
"화장품",9.57,1.83
"합정태국음식",4459.19,0
"해외여행",12.68,0
"호치민",73.28,0.34
"호치민여행",2160.77,0.07
"홍콩",31.68,0.45
"홍콩디저트",2598.25,0
"강남붙임머리",300.08,0.52
"강남반영구",14.06,0.36
"강남눈썹문신",36.71,0.32
"강남",3.7,2.8
"강남네일",12.47,0.49
"강남맘",14.51,0.62
"강남미용실",43.74,0.19
"강남역미용실",83.14,0.07
"강남카페",38.78,0.4
"강남메이드테이블",423.68,0.04
"강남자연눈썹",234.82,0.17
"강남술집",60.82,0.62
"강남데이트",54.55,0.17
"강남속눈썹연장",75.23,0.14
"강남속눈썹",85.57,0.1
"내아이디는강남미인",410.57,0.03
"강남꽃집",24.32,0.19
"강남역반영구",95.97,0.02
"강남반영구수강",132.06,0.03
"강남반영구학원",215.46,0.07
"강남메이드클럽",87.72,0.09
"강남타투",51.96,0.12
"강남헤어라인",436.12,0.02
"강남네일샵",189.49,0.09
"강남핫플레이스",270.66,0.11
"강남속눈썹펌",85.76,0.05
"강남회식장소",37.03,0.06
"강남꽃배달",76.29,0.05
"강남반영구눈썹",298.11,0.03
"강남역데이트",74.99,0.07
"강남미용실추천",134.51,0.02
"클럽강남메이드",666.57,0.11
"강남눈썹반영구",338.54,0.02
"강남메이드게스트신청",682.91,0.04
"강남역속눈썹",186.01,0.04
"강남남자눈썹문신",201.2,0.03
"강남이자카야",107.12,0.05
"강남메이드무료입장",884.78,0.04
"강남구청",54.22,0.08
"강남왁싱",162.92,0.07
"강남데이트코스",291.47,0.02
"강남역회식장소",60.88,0.07
"강남한복",2825.34,0.02
"강남반영구화장",210.42,0.06
"강남pt",361.09,0.04
"강남뷰러펌",192.13,0.03
"강남피부과",597.79,0.03
"강남회식",779.56,0.05
"강남플라워레슨",104.14,0.05
"강남역클럽",70.82,0.2
"강남역네일샵",587.46,0.04
"강남구청역맛집",314.01,0.05
"강남메이드테이블예약",548.19,0.02
"강남클럽",58.64,1.22
"강남구",65.79,0.09
"강남눈썹",157.19,0.05
"강남구청역",361.01,0.04
"강남역술집",23.66,0.5
"강남역눈썹문신",442.36,0.02
"강남메이드",82.74,0.62
"강남프로필사진",1359.63,0.02
"강남클럽메이드",99.83,0.02
"강남곱창",1159.87,0.01
"강남마카롱",489.92,0.04
"강남남자눈썹",577.3,0.03
"강남구청맛집",481.51,0.03
"강변역맛집",239.05,0.03
"강변역",3216.53,0.02
"강변역초밥",1807.99,0
"건대입구",73.87,0.85
"건대입구맛집",441.54,0.58
"건대입구역맛집",528.6,0.55
"건대입구역",306.13,0.04
"건대입구술집",126.86,0
"건대입구카페",3443.98,0
"롯데시네마건대입구",2050.97,0
"건대입구네일",3103.08,0.01
"건대입구데이트",230.64,0
"건대입구핫플",100.93,0
"건대입구왁싱",2585.7,0
"건대입구원룸",4270.66,0
"건대입구삼겹살",5566.11,0
"건대입구양꼬치",4030.99,0
"건대입구피자",14218.96,0
"교대",113.31,0.14
"교대역맛집",112.28,0.03
"교대속눈썹",589.89,0.01
"교대맛집",283.21,0.04
"교대카페",1271.03,0.02
"교대역",618.45,0.04
"교대네일",677.22,0.03
"서울교대",2669.22,0.02
"교대꽃집",2357.97,0.01
"교대반영구",2792.87,0
"교대생",2544.52,0.01
"교대속눈썹연장",463.96,0
"교대이층집",4208.58,0.01
"교대마사지",3771.3,0
"교대점심",4810.13,0
"교대가죽공방",2656.09,0
"교대치과",11221.79,0
"교대역속눈썹",2133.94,0
"교대역마사지",9167.55,0
"교대역치과",6797.41,0
"교대전자담배",1017.46,0
"교대사무실",6333.56,0
"구디",247.58,0.08
"대구디저트",392.15,0.05
"대구디저트카페",470.23,0.05
"구디맛집",226.45,0.06
"구디속눈썹",2486.92,0.01
"구디카페",4174.61,0.01
"구디역",3545.98,0
"구디pt",5271.76,0
"구디술집",3458.66,0
"구디속눈썹연장",2039.65,0
"구디미용실",2777.46,0
"구디단",4419.23,0
"구디역맛집",6028.55,0
"구디점심",3849.78,0
"구디왁싱",837.35,0
"구디단맛집",4656.46,0
"구디파스타",1759.23,0
"구디데이트",639.4,0
"구디직장인",3896.86,0
"구디참치",6102.54,0
"구의",1555.4,0.04
"구의동맛집",691.78,0.03
"구의동",347.59,0.05
"구의맛집",1274.67,0.02
"구의역",2981.03,0.02
"구의동네일",1196.38,0.01
"구의역맛집",2305.16,0.02
"구의카페",1607.73,0.01
"구의동꽃집",1691.61,0.01
"구의술집",6273.6,0
"구의역속눈썹",4950.42,0
"구의공원",3102.53,0
"구의동배달",5201.9,0
"구의동맘",12402.73,0
"낙성대맛집",319.08,0.06
"낙성대",84.68,0.15
"낙성대네일",333.44,0.02
"낙성대꽃집",191.11,0.01
"낙성대카페",2292.47,0.02
"낙성대역",557.82,0.02
"낙성대미용실",1181.78,0.01
"낙성대속눈썹",1374.34,0
"낙성대공원",2523.29,0.01
"낙성대역미용실",1621.58,0
"낙성대동",9766.66,0
"낙성대태닝",2410.03,0
"낙성대족발",3286.54,0
"낙성대연극",2962.11,0
"당산",111.31,0.08
"당산역",1052.33,0.03
"당산맛집",511.54,0.05
"당산역맛집",847.64,0.04
"당산동",2840.89,0.01
"당산미용실",2513.28,0
"당산역카페",6372.29,0.01
"당산헬스",5609.5,0
"당산빵집",10438.94,0
"당산다이어트",2950.05,0
"당산떡집",2094.41,0
"당산안경",4326.14,0
"대림",1955.86,0.03
"성수동대림창고",741.89,0.01
"대림동",4243.53,0.02
"대림역",5417.87,0.01
"대림맛집",3508.29,0.01
"대림동맛집",3743.94,0.01
"대림역맛집",2493.68,0
"대림훠궈",1370.18,0
"대림동속눈썹",2405.39,0
"대림웨딩홀",8331.91,0
"대림맛집추천",5254.67,0
"동대문역사문화공원",2049.17,0.02
"동대문역사문화공원역",4967.14,0.01
"동대문역사문화공원맛집",4984.9,0
"동대문역사문화공원역맛집",4723,0
"뚝섬",12.15,0.29
"뚝섬유원지",57.48,0.23
"뚝섬카페",265.24,0.07
"뚝섬맛집",248,0.05
"뚝섬한강공원",181.27,0.08
"뚝섬역",1740.84,0.04
"뚝섬역맛집",2921.84,0.05
"뚝섬역카페",3860.99,0.01
"뚝섬유원지맛집",3855.93,0.01
"뚝섬데이트",1064.11,0
"한강뚝섬",2685.39,0
"뚝섬술집",3062.43,0
"뚝섬역자전거매장",2239.26,0
"뚝섬나들이",3023.24,0
"뚝섬캔들공방",4284.46,0
"백종원의골목식당뚝섬",6218.41,0
"뚝섬역8번출구",5715.4,0
"문래",917.71,0.07
"문래동",376.12,0.1
"문래동맛집",1242.63,0.05
"문래창작촌",663.66,0.05
"문래맛집",1057.2,0.03
"문래역",3792.82,0.01
"문래동꽃집",4634.56,0.01
"올드문래",3916.46,0.01
"문래술집",4119.91,0
"문래동루프탑",4706.03,0
"문래창작촌꽃집",1699.44,0
"문래동곱창",1647.21,0
"문래떡집",1875.63,0
"밀크티",33.95,1.14
"방배",128.2,0.13
"방배동",144.88,0.16
"방배동맛집",356.69,0.11
"방배동카페",942.27,0.04
"방배맛집",62.83,0.05
"방배동미용실",393.36,0.02
"방배동꽃집",2571.85,0.03
"방배미용실",1401.39,0.01
"방배꽃집",383.87,0.02
"방배카페",1063.15,0.02
"방배역",1479.95,0.02
"방배맘",3232.47,0.01
"방배역미용실",1064.47,0.01
"방배동카페골목",3473.37,0.02
"방배네일",3734.52,0.02
"방배동네일",2335.8,0.01
"방배사이길",4184.6,0.01
"방배역맛집",3301.8,0.02
"방배카페골목",2943.26,0.01
"방배동속눈썹펌",8640.75,0
"방배동pt",8450.44,0
"방배동인테리어",4145.91,0
"방배동꽃배달",345.02,0
"방배동핫플",2145.37,0
"준오헤어방배2호점",4567.9,0
"방배pt",5961.62,0
"방배점",8716.01,0
"방배동피부관리실",8841.85,0
"방배동술집",3133.29,0
"방배헬스",5227.11,0
"방배호빠",70.31,0.83
"방배동카페거리",5345.22,0
"방배동헬스",7446.73,0
"방배타투",3356.87,0
"방배동사이길",7562.94,0
"방배동성당",1601.86,0
"방배카페거리",3171.27,0
"새마을휘트니스방배점",8794.25,0
"방배동타투",2552.12,0
"방배동맘",1059.83,0
"방배술집",4588.67,0
"방배피티",8390.19,0
"방배스튜디오",4954.63,0
"방배역치과",3719.56,0
"방배동헤어샵",955.59,0
"방배동원룸",3056.73,0
"팀방배",1818.26,0
"방배동족발",1428.27,0
"방배조개창고",3193.7,0
"방배동보쌈",2075.37,0
"방배동42길",15148.03,0
"방배웨딩홀",2417.15,0
"방배동성인용품",9197.58,0
"방배1호점",11933.24,0
"방배동안경",8494.83,0
"방배동pc방",9418.01,0
"봉천동",336.08,0.08
"봉천",920.89,0.08
"봉천동맛집",403.66,0.04
"봉천동꽃집",493.54,0.01
"봉천맛집",2487.79,0.01
"봉천역맛집",2686.5,0.01
"봉천속눈썹",1058.85,0
"봉천역",1613.86,0.01
"봉천애견미용",105.87,0
"봉천동원룸",931.29,0
"봉천동태닝",421.75,0
"봉천동족발",3093.68,0
"봉천예술관",5108.26,0
"봉천동인테리어",1931.83,0
"봉천역속눈썹",2610.89,0
"봉천동야식",1424.61,0
"봉천동보쌈",1398.98,0
"봉천황소곱창",4018.79,0
"사당",160.32,0.32
"사당맛집",236.8,0.14
"사당역",176.77,0.08
"사당역맛집",537.05,0.05
"사당네일",83.93,0.04
"사당족발",60.21,0.03
"국회의사당",489.59,0.06
"사당카페",756.41,0.04
"사당눈썹문신",636.77,0.01
"국회의사당맛집",544.13,0.02
"사당반영구",275.82,0.02
"사당속눈썹",702.46,0.02
"사당미용실",934.76,0.02
"사당역카페",1848.05,0.01
"사당동",1307.36,0.02
"사당꽃집",1218.61,0.01
"사당술집",5442.46,0.01
"사당속눈썹펌",4826.97,0.01
"사당역미용실",1374.69,0.01
"사당댄스학원",2226.31,0
"국회의사당역",2320.55,0.01
"사당댄스",1402.32,0
"사당메이크업",652.35,0
"사당눈썹",195.43,0
"사당동맛집",4792.32,0.01
"사당역술집",1292.54,0.01
"사당동네일",2800.91,0.01
"사당동카페",4294.54,0.01
"사당맛집추천",2402.18,0
"사당맘",5078.06,0
"국회의사당역맛집",2260.07,0
"사당역데이트",2877.45,0
"사당연습실",2286.46,0.01
"사당동떡집",10663.99,0
"사당허벌라이프",3649.26,0
"사당다이어트",3704.64,0
"사당점핑",3466.97,0
"사당맥주",3319.43,0
"사당곱창",2520.3,0
"사당호빠",2234.79,1.09
"사당피부관리",5756.52,0
"사당역맛집추천",2501.68,0
"사당역고기집",3608.9,0
"사당태닝",1663.53,0
"사당원룸",2876.93,0
"사당역요가",857.62,0
"사당웨딩홀",5885.62,0
"사당허벌",9053.34,0
"사당마사지",2777.14,0
"사당역피부관리",7083.56,0
