tag,x,y
"가디건",141.67,28
"롱가디건",2240.78,1
"기본티",585.98,7
"남친룩",34.69,101
"롱드레스",1210.76,4
"박서준",46.3,28
"지오지아박서준",923.84,2
"박서준패션",5851.31,0
"블라우스",6.77,88
"빈티지",21.22,15
"합정빈티지샵",5103,0
"스니커즈",56.01,8
"여친선물",31.36,51
"속옷",151.49,5
"운동화",65.22,24
"원피스",4.49,39
"롱원피스",11.75,22
"데일리코디",15.32,35
"코트",82.68,10
"남자코트",1493.04,5
"패션",4.29,53
"데일리패션",25.07,18
"패션위크",446.91,11
"패피남",68.16,9
"훈남",8.04,51
"공스타그램",27.58,17
"북스타그램",21.48,0
"코덕소통",864.36,4
"육아일상",5.2,74
"밥스타그램",20.46,27
"빵스타그램",28.05,17
"술스타그램",3.65,95
"요리",4.76,45
"요리스타그램",15.26,0
"음식",9.09,43
"음식스타그램",18.21,33
"인스타푸드",16.53,50
"커피스타그램",3.83,68
"쿡스타그램",24.46,16
"푸드",12,18
"푸드스타그램",12.1,14
"혼밥",22.77,15
"홈쿡",5.51,0
"도치맘",13.01,72
"독박육아",12.58,83
"등원룩",24.64,126
"딸맘",4.15,60
"딸바보",5.52,80
"딸스타그램",2.91,49
"맘스타그램",4.7,110
"문센룩",9.47,46
"베이비그램",10.61,93
"베이비스타그램",5.13,52
"아기스타그램",4.31,87
"아들맘",6.18,66
"아들바보",9.34,48
"아들스타그램",10.84,64
"애스타그램",2.93,96
"예비맘",22.57,30
"워킹맘",6.26,137
"육아스타그램",1.91,213
"육아템",7.55,143
"육아일기",6.87,137
"육아그램",7.73,62
"육아",4.02,50
"육아맘",5.46,46
"젊줌마",3.72,188
"줌마스타그램",35.21,36
"줌스타그램",44.59,22
"초보맘",4.78,57
"다이어트",2.26,32
"식단",4.53,75
"요가",11.75,64
"잠실요가",2380.69,1
"신촌요가",1047.44,0
"운동하는남자",13.84,124
"운동하는여자",2.41,69
"운동",2.66,62
"전신샷",11.21,49
"필라테스",11.6,21
"강남필라테스",745.69,6
"선릉필라테스",2033.41,2
"왕십리필라테스",1488.36,1
"잠실필라테스",1133.8,1
"신촌필라테스",1060.17,1
"역삼필라테스",898.71,1
"홍대필라테스",865.98,1
"잠실새내필라테스",2281.77,0
"헬스타그램",6.97,45
"헬스",8.95,25
"잠실헬스",4688.57,1
"강아지",8.78,52
"강남강아지분양",201.94,3
"개린이",20.98,33
"개스타그램",8.18,83
"고양이",13.47,43
"냥스타그램",15.03,57
"댕댕이",19.4,93
"독스타그램",15.2,64
"멍스타그램",10.35,54
"반려견",10.91,52
"펫스타그램",10,75
"가족여행",13.66,22
"말레이시아",28.34,18
"방콕",31.64,33
"방콕여행",17.23,14
"베트남",14.1,37
"베트남여행",38.29,25
"부산여행",12.51,24
"싱가포르",94.71,12
"제주도여행",8.07,206
"여행에미치다",2.46,96
"제주여행",8.23,76
"유럽여행",19.21,69
"여행스타그램",5.97,61
"태국여행",40.25,21
"일본여행",16.57,0
"치앙마이",168.55,8
"태국",16.41,19
"가방",22.85,31
"남친선물",112,77
"니트",56.99,23
"인피니트",60.75,9
"댄디",358.95,4
"데일리룩",4.93,21
"모던룩",54.62,28
"남자셔츠",131.84,16
"셔츠",35,13
"티셔츠",68.1,7
"와이셔츠",3096.46,1
"수트",11.9,23
"스커트",89.36,14
"스트릿패션",18.57,17
"시계",140.09,10
"악세사리",16.6,27
"이대악세사리",193.97,0
"옷스타그램",8.08,49
"홍대옷가게",100.96,8
"데일리원피스",9.84,8
"커플룩",6.5,107
"패션스타그램",4.39,109
"패션피플",3.45,55
"서울패션위크",136.69,14
"하객룩",4.19,123
"훈남룩",2738.36,1
"그림스타그램",20.6,19
"육아소통",3.08,92
"책스타그램",20.3,49
"슬랙스",18.73,30
"신발",17.58,35
"여친룩",49.9,65
"오오티디",1.52,38
"오피스룩",5.92,38
"옷",6.41,39
"강남옷가게",1147,3
"랩원피스",143.04,10
"일상룩",17.29,41
"자켓",16.78,48
"청바지",61.22,32
"코디",18.03,29
"트렌치코트",26.81,34
"인스타패션",8.92,78
"연예인패션",9.72,49
"패피",24.36,30
"육아맘일상",12.79,37
"일상",0.75,16
beauty,2.37,9
makeup,1.49,12
"메이크업",2.6,50
"베이스메이크업",211.22,7
"메이크업베이스",434.92,5
"강남메이크업",532.32,4
"홍대메이크업",313.23,1
"뷰스타그램",10.54,109
"뷰티스타그램",3.19,73
"뷰티",2.12,61
"뷰티그램",15.89,24
"손스타그램",42.59,29
"코덕",15.29,55
"코덕그램",128.02,5
"화장품",9.57,91
"합정태국음식",4459.19,0
"해외여행",12.68,0
"호치민",73.28,11
"호치민여행",2160.77,3
"홍콩",31.68,16
"홍콩디저트",2598.25,0
"강남붙임머리",300.08,98
"강남반영구",14.06,69
"강남눈썹문신",36.71,57
"강남",3.7,43
"강남네일",12.47,41
"강남맘",14.51,37
"강남미용실",43.74,33
"강남역미용실",83.14,22
"강남카페",38.78,17
"강남메이드테이블",423.68,16
"강남자연눈썹",234.82,16
"강남술집",60.82,15
"강남데이트",54.55,14
"강남속눈썹연장",75.23,13
"강남속눈썹",85.57,13
"내아이디는강남미인",410.57,13
"강남꽃집",24.32,12
"강남역반영구",95.97,12
"강남반영구수강",132.06,12
"강남반영구학원",215.46,10
"강남메이드클럽",87.72,9
"강남타투",51.96,9
"강남헤어라인",436.12,9
"강남네일샵",189.49,8
"강남핫플레이스",270.66,8
"강남속눈썹펌",85.76,7
"강남회식장소",37.03,7
"강남꽃배달",76.29,7
"강남반영구눈썹",298.11,6
"강남역데이트",74.99,6
"강남미용실추천",134.51,6
"클럽강남메이드",666.57,6
"강남눈썹반영구",338.54,6
"강남메이드게스트신청",682.91,6
"강남역속눈썹",186.01,6
"강남남자눈썹문신",201.2,5
"강남이자카야",107.12,5
"강남메이드무료입장",884.78,5
"강남구청",54.22,5
"강남왁싱",162.92,5
"강남데이트코스",291.47,4
"강남역회식장소",60.88,4
"강남한복",2825.34,4
"강남반영구화장",210.42,4
"강남pt",361.09,4
"강남뷰러펌",192.13,4
"강남피부과",597.79,4
"강남회식",779.56,4
"강남플라워레슨",104.14,4
"강남역클럽",70.82,4
"강남역네일샵",587.46,4
"강남구청역맛집",314.01,3
"강남메이드테이블예약",548.19,3
"강남클럽",58.64,3
"강남구",65.79,3
"강남눈썹",157.19,3
"강남구청역",361.01,3
"강남역술집",23.66,3
"강남역눈썹문신",442.36,3
"강남메이드",82.74,3
"강남프로필사진",1359.63,3
"강남클럽메이드",99.83,3
"강남곱창",1159.87,2
"강남마카롱",489.92,2
