tag,x,y
"가디건",141.67,0.44
"롱가디건",2240.78,0.16
"기본티",585.98,0.7
"남친룩",34.69,1.15
"롱드레스",1210.76,1.4
"박서준",46.3,0.4
"지오지아박서준",923.84,1.71
"박서준패션",5851.31,0.52
"블라우스",6.77,0.95
"빈티지",21.22,0.06
"합정빈티지샵",5103,0.59
"스니커즈",56.01,0.12
"여친선물",31.36,0.47
"속옷",151.49,0.19
"운동화",65.22,0.23
"원피스",4.49,0.12
"롱원피스",11.75,0.42
"데일리코디",15.32,0.12
"코트",82.68,0.13
"남자코트",1493.04,0.77
"패션",4.29,0.03
"데일리패션",25.07,0.09
"패션위크",446.91,0.4
"패피남",68.16,0.61
"훈남",8.04,0.19
"공스타그램",27.58,0.07
"북스타그램",21.48,0
"코덕소통",864.36,3.87
"육아일상",5.2,0.17
"밥스타그램",20.46,0.28
"빵스타그램",28.05,0.08
"술스타그램",3.65,0.1
"요리",4.76,0.13
"요리스타그램",15.26,0
"음식",9.09,0.14
"음식스타그램",18.21,0.23
"인스타푸드",16.53,0.2
"커피스타그램",3.83,0.2
"쿡스타그램",24.46,0.12
"푸드",12,0.19
"푸드스타그램",12.1,0.05
"혼밥",22.77,0.09
"홈쿡",5.51,0
"도치맘",13.01,0.05
"독박육아",12.58,0.43
"등원룩",24.64,0.44
"딸맘",4.15,0.12
"딸바보",5.52,0.11
"딸스타그램",2.91,0.03
"맘스타그램",4.7,0.07
"문센룩",9.47,0.27
"베이비그램",10.61,0.21
"베이비스타그램",5.13,0.09
"아기스타그램",4.31,0.19
"아들맘",6.18,0.07
"아들바보",9.34,0.1
"아들스타그램",10.84,0.04
"애스타그램",2.93,0.06
"예비맘",22.57,0.13
"워킹맘",6.26,0.26
"육아스타그램",1.91,0.09
"육아템",7.55,0.9
"육아일기",6.87,0.27
"육아그램",7.73,0.16
"육아",4.02,0.02
"육아맘",5.46,0.03
"젊줌마",3.72,0.21
"줌마스타그램",35.21,0.15
"줌스타그램",44.59,0.08
"초보맘",4.78,0.24
"다이어트",2.26,0.02
"식단",4.53,0.54
"요가",11.75,0.34
"잠실요가",2380.69,0.8
"신촌요가",1047.44,1.26
"운동하는남자",13.84,0.35
"운동하는여자",2.41,0.12
"운동",2.66,0.06
"전신샷",11.21,0.17
"필라테스",11.6,0.1
"강남필라테스",745.69,1.23
"선릉필라테스",2033.41,3.87
"왕십리필라테스",1488.36,4.22
"잠실필라테스",1133.8,0.8
"신촌필라테스",1060.17,2.31
"역삼필라테스",898.71,1.54
"홍대필라테스",865.98,0.55
