tag,x,y
"가디건",644167,743
"롱가디건",54291,585
"기본티",103576,628
"남친룩",874565,511
"롱드레스",26524,2246
"박서준",700783,2488
"지오지아박서준",10158,1694
"박서준패션",4635,3497
"블라우스",918764,691
"빈티지",2395223,686
"합정빈티지샵",1468,108
"스니커즈",735804,769
"여친선물",1082562,647
"속옷",245661,2078
"운동화",1036632,1424
"원피스",3121010,308
"롱원피스",517167,326
"데일리코디",2964325,887
"코트",762495,382
"남자코트",70233,3799
"패션",19873085,459
"데일리패션",1940598,893
"패션위크",270566,2028
"패피남",145678,399
"훈남",2615611,873
"공스타그램",2410427,760
"북스타그램",2418017,913
"코덕소통",9601,2221
"육아일상",4245888,335
"밥스타그램",952394,437
"빵스타그램",2034545,277
"술스타그램",9829838,269
"요리",3530556,238
"요리스타그램",2541564,629
"음식",3139548,704
"음식스타그램",1452145,355
"인스타푸드",2578908,725
"커피스타그램",3335362,436
"쿡스타그램",1364369,1534
"푸드",916123,215
"푸드스타그램",3155373,637
"혼밥",1675494,421
"홈쿡",2538126,428
"도치맘",13596456,1059
"독박육아",1900948,834
"등원룩",2845944,1101
"딸맘",5091411,305
"딸바보",7044149,269
"딸스타그램",17993031,366
"맘스타그램",15242028,421
"문센룩",1706058,453
"베이비그램",4378732,276
"베이비스타그램",6102951,180
"아기스타그램",4684585,539
"아들맘",9533358,410
"아들바보",4648978,268
"아들스타그램",15446136,1032
"애스타그램",16026399,324
"예비맘",2303826,280
"워킹맘",5231211,1216
"육아스타그램",24163166,212
"육아템",1589132,502
"육아일기",5119827,816
"육아그램",3887572,511
"육아",26787731,634
"육아맘",14486084,1276
"젊줌마",9170397,298
"줌마스타그램",2380766,760
"줌스타그램",2780006,850
"초보맘",2402082,248
"다이어트",13866599,408
"식단",1373987,202
"요가",1888443,658
"잠실요가",7391,226
"신촌요가",3004,248
"운동하는남자",3562920,762
"운동하는여자",5699714,200
"운동",10418383,289
"전신샷",2825720,947
"필라테스",2145287,1059
"강남필라테스",50653,4067
"선릉필라테스",3937,1253
"왕십리필라테스",3476,591
"잠실필라테스",14875,356
"신촌필라테스",5101,1292
"역삼필라테스",5729,959
"홍대필라테스",12910,644
"잠실새내필라테스",2527,130
"헬스타그램",4882370,613
"헬스",4200604,482
"잠실헬스",4692,1288
"강아지",12929488,732
"강남강아지분양",29833,891
"개린이",1802261,1455
"개스타그램",10276047,741
"고양이",14381250,2507
"냥스타그램",10471556,3996
"댕댕이",4388714,851
"독스타그램",6090530,1068
"멍스타그램",18005361,764
"반려견",13830065,1511
"펫스타그램",7540812,1217
"가족여행",4202011,648
"말레이시아",454872,187
"방콕",1763944,2142
"방콕여행",396174,440
"베트남",1913090,547
"베트남여행",382253,1132
"부산여행",2790068,266
"싱가포르",480815,576
"제주도여행",3287917,720
"여행에미치다",5414948,186
"제주여행",4276931,925
"유럽여행",3345548,2200
"여행스타그램",21209318,673
"태국여행",419206,740
"일본여행",2756878,681
"치앙마이",245963,214
"태국",1820515,1013
"가방",2489380,773
"남친선물",679052,949
"니트",1289168,866
"인피니트",1187642,465
"댄디",99152,1194
"데일리룩",41844728,290
"모던룩",321074,485
"남자셔츠",79448,1051
"셔츠",682760,465
"티셔츠",613565,3008
"와이셔츠",18514,1169
"수트",447479,410
"스커트",506800,1744
"스트릿패션",1538734,1712
"시계",1466330,1279
"악세사리",2116441,420
"이대악세사리",3378,25
"옷스타그램",17007663,437
"홍대옷가게",64312,894
"데일리원피스",67588,381
"커플룩",1922438,415
"패션스타그램",6370899,304
"패션피플",998157,267
"서울패션위크",329342,1062
"하객룩",1496066,229
"훈남룩",16533,744
"그림스타그램",1742434,2033
"육아소통",20519554,332
"책스타그램",2446981,1255
"슬랙스",306376,497
"신발",2191041,649
"여친룩",899937,1494
"오오티디",27858200,152
"오피스룩",1212902,273
"옷",3364426,328
"강남옷가게",28362,482
"랩원피스",94904,429
"일상룩",1337153,433
"자켓",655290,318
"청바지",1016736,1103
"코디",4464074,1101
"트렌치코트",383495,233
"인스타패션",1535451,561
"연예인패션",394934,646
"패피",2761493,1146
"육아맘일상",1803369,879
"일상",173779359,165
beauty,311184001,2452
makeup,227600366,588
"메이크업",3069588,143
"베이스메이크업",19486,2341
"메이크업베이스",16501,4869
"강남메이크업",26408,1056
"홍대메이크업",17070,306
"뷰스타그램",1325198,1902
"뷰티스타그램",3436706,355
"뷰티",5799869,169
"뷰티그램",779952,2054
"손스타그램",2275818,544
"코덕",1524638,1761
"코덕그램",18025,1147
"화장품",2301824,986
"합정태국음식",121,152
"해외여행",1518629,436
"호치민",342269,610
"호치민여행",42381,1115
"홍콩",2563183,433
"홍콩디저트",2769,384
"강남붙임머리",198459,2813
"강남반영구",397566,932
"강남눈썹문신",434266,1018
"강남",11962126,235
"강남네일",247168,574
"강남맘",231962,440
"강남미용실",240881,1718
"강남역미용실",73188,1650
"강남카페",365364,829
"강남메이드테이블",716470,2880
"강남자연눈썹",206288,2016
"강남술집",442323,1273
"강남데이트",107193,512
"강남속눈썹연장",167005,709
"강남속눈썹",194417,683
"내아이디는강남미인",38314,2415
"강남꽃집",168031,323
"강남역반영구",16719,1666
"강남반영구수강",32202,1044
"강남반영구학원",73963,1350
"강남메이드클럽",590447,2097
"강남타투",186570,790
"강남헤어라인",32413,2438
"강남네일샵",87208,950
"강남핫플레이스",76741,2730
"강남속눈썹펌",70993,1617
"강남회식장소",34118,513
"강남꽃배달",37475,457
"강남반영구눈썹",14635,2417
"강남역데이트",57354,453
"강남미용실추천",16583,1048
"클럽강남메이드",194591,2831
"강남눈썹반영구",28842,1722
"강남메이드게스트신청",199509,2493
"강남역속눈썹",42247,1317
"강남남자눈썹문신",17039,828
"강남이자카야",24673,339
"강남메이드무료입장",415336,2436
"강남구청",98346,233
"강남왁싱",112157,647
"강남데이트코스",27055,1366
"강남역회식장소",39319,536
"강남한복",16728,1642
"강남반영구화장",92099,1006
"강남pt",54907,1521
"강남뷰러펌",8027,876
"강남피부과",24743,4132
"강남회식",21729,1183
"강남플라워레슨",40547,280
"강남역클럽",55274,1889
"강남역네일샵",54670,868
"강남구청역맛집",30912,946
"강남메이드테이블예약",188821,2627
"강남클럽",3172599,1602
"강남구",124021,767
"강남눈썹",99016,958
"강남구청역",71619,476
"강남역술집",96068,527
"강남역눈썹문신",14194,1282
"강남메이드",2735493,2674
"강남프로필사진",24495,2363
"강남클럽메이드",304944,1529
"강남곱창",21385,4089
"강남마카롱",16279,904
"강남남자눈썹",13406,1300
"강남구청맛집",38632,731
"강변역맛집",11751,238
"강변역",25591,656
"강변역초밥",100,205
"건대입구",397351,682
"건대입구맛집",50267,3033
"건대입구역맛집",12952,3856
"건대입구역",46034,783
"건대입구술집",1680,188
"건대입구카페",4089,384
"롯데시네마건대입구",4562,3818
"건대입구네일",2401,236
"건대입구데이트",448,133
"건대입구핫플",42,248
"건대입구왁싱",69,259
"건대입구원룸",156,30
"건대입구삼겹살",22,171
"건대입구양꼬치",30,57
"건대입구피자",10,30
"교대",178596,380
"교대역맛집",20012,1052
"교대속눈썹",11809,882
"교대맛집",58241,719
"교대카페",11465,1483
"교대역",54444,872
"교대네일",32022,447
"서울교대",12430,228
"교대꽃집",13926,511
"교대반영구",1402,1756
"교대생",4807,336
"교대속눈썹연장",1008,631
"교대이층집",14467,379
"교대마사지",895,550
"교대점심",735,640
"교대가죽공방",824,79
"교대치과",581,156
"교대역속눈썹",286,104
"교대역마사지",420,264
"교대역치과",4023,92
"교대전자담배",171,40
"교대사무실",16,9
"구디",99883,689
"대구디저트",34534,498
"대구디저트카페",20980,751
"구디맛집",52577,585
"구디속눈썹",4155,618
"구디카페",6744,358
"구디역",7224,416
"구디pt",2237,338
"구디술집",3976,260
"구디속눈썹연장",2290,353
"구디미용실",3078,384
"구디단",6913,274
"구디역맛집",2264,371
"구디점심",678,125
"구디왁싱",392,213
"구디단맛집",630,167
"구디파스타",359,60
"구디데이트",231,159
"구디직장인",201,231
"구디참치",108,39
"구의",49503,849
"구의동맛집",24835,666
"구의동",57950,275
"구의맛집",18781,1108
"구의역",33415,480
"구의동네일",13155,478
"구의역맛집",13786,794
"구의카페",6159,661
"구의동꽃집",3674,332
"구의술집",1332,172
"구의역속눈썹",759,131
"구의공원",624,45
"구의동배달",50,49
"구의동맘",47,19
"낙성대맛집",39948,1310
"낙성대",156941,218
"낙성대네일",14387,901
"낙성대꽃집",7016,407
"낙성대카페",14033,557
"낙성대역",21012,206
"낙성대미용실",10182,458
"낙성대속눈썹",3654,1108
"낙성대공원",6996,362
"낙성대역미용실",2172,128
"낙성대동",4188,222
"낙성대태닝",74,159
"낙성대족발",123,378
"낙성대연극",255,16
"당산",98881,568
"당산역",39467,570
"당산맛집",37339,1127
"당산역맛집",17887,1211
"당산동",20980,1320
"당산미용실",3174,1273
"당산역카페",2178,633
"당산헬스",2708,748
"당산빵집",744,603
"당산다이어트",205,51
"당산떡집",252,5
"당산안경",45,19
"대림",41657,587
"성수동대림창고",4193,820
"대림동",19841,464
"대림역",13720,499
"대림맛집",6446,1157
"대림동맛집",5929,195
"대림역맛집",2514,256
"대림훠궈",217,183
"대림동속눈썹",611,31
"대림웨딩홀",340,35
"대림맛집추천",41,83
"동대문역사문화공원",48282,773
"동대문역사문화공원역",11153,776
"동대문역사문화공원맛집",1593,653
"동대문역사문화공원역맛집",1338,1374
"뚝섬",257453,161
"뚝섬유원지",203887,286
"뚝섬카페",31416,467
"뚝섬맛집",27150,1375
"뚝섬한강공원",26298,492
"뚝섬역",42690,474
"뚝섬역맛집",20626,1093
"뚝섬역카페",9873,408
"뚝섬유원지맛집",2951,787
"뚝섬데이트",708,212
"한강뚝섬",1021,74
"뚝섬술집",281,61
"뚝섬역자전거매장",371,14
"뚝섬나들이",341,154
"뚝섬캔들공방",78,121
"백종원의골목식당뚝섬",15,56
"뚝섬역8번출구",135,40
"문래",57739,1088
"문래동",126235,827
"문래동맛집",46885,535
"문래창작촌",47732,999
"문래맛집",27797,575
"문래역",17280,969
"문래동꽃집",6865,167
"올드문래",13150,250
"문래술집",1300,392
"문래동루프탑",142,43
"문래창작촌꽃집",177,27
"문래동곱창",723,259
"문래떡집",214,20
"밀크티",788987,629
"방배",144176,854
"방배동",229319,864
"방배동맛집",50105,1070
"방배동카페",26923,504
"방배맛집",21987,278
"방배동미용실",10012,546
