tag,x,y
"가디건",644167,141.67
"롱가디건",54291,2240.78
"기본티",103576,585.98
"남친룩",874565,34.69
"롱드레스",26524,1210.76
"박서준",700783,46.3
"지오지아박서준",10158,923.84
"박서준패션",4635,5851.31
"블라우스",918764,6.77
"빈티지",2395223,21.22
"합정빈티지샵",1468,5103
"스니커즈",735804,56.01
"여친선물",1082562,31.36
"속옷",245661,151.49
"운동화",1036632,65.22
"원피스",3121010,4.49
"롱원피스",517167,11.75
"데일리코디",2964325,15.32
"코트",762495,82.68
"남자코트",70233,1493.04
"패션",19873085,4.29
"데일리패션",1940598,25.07
"패션위크",270566,446.91
"패피남",145678,68.16
"훈남",2615611,8.04
"공스타그램",2410427,27.58
"북스타그램",2418017,21.48
"코덕소통",9601,864.36
"육아일상",4245888,5.2
"밥스타그램",952394,20.46
"빵스타그램",2034545,28.05
"술스타그램",9829838,3.65
"요리",3530556,4.76
"요리스타그램",2541564,15.26
"음식",3139548,9.09
"음식스타그램",1452145,18.21
"인스타푸드",2578908,16.53
"커피스타그램",3335362,3.83
"쿡스타그램",1364369,24.46
"푸드",916123,12
"푸드스타그램",3155373,12.1
"혼밥",1675494,22.77
"홈쿡",2538126,5.51
"도치맘",13596456,13.01
"독박육아",1900948,12.58
"등원룩",2845944,24.64
"딸맘",5091411,4.15
"딸바보",7044149,5.52
"딸스타그램",17993031,2.91
"맘스타그램",15242028,4.7
"문센룩",1706058,9.47
"베이비그램",4378732,10.61
"베이비스타그램",6102951,5.13
"아기스타그램",4684585,4.31
"아들맘",9533358,6.18
"아들바보",4648978,9.34
"아들스타그램",15446136,10.84
"애스타그램",16026399,2.93
"예비맘",2303826,22.57
"워킹맘",5231211,6.26
"육아스타그램",24163166,1.91
"육아템",1589132,7.55
"육아일기",5119827,6.87
"육아그램",3887572,7.73
"육아",26787731,4.02
"육아맘",14486084,5.46
"젊줌마",9170397,3.72
"줌마스타그램",2380766,35.21
"줌스타그램",2780006,44.59
"초보맘",2402082,4.78
"다이어트",13866599,2.26
"식단",1373987,4.53
"요가",1888443,11.75
"잠실요가",7391,2380.69
"신촌요가",3004,1047.44
"운동하는남자",3562920,13.84
"운동하는여자",5699714,2.41
"운동",10418383,2.66
"전신샷",2825720,11.21
"필라테스",2145287,11.6
"강남필라테스",50653,745.69
"선릉필라테스",3937,2033.41
"왕십리필라테스",3476,1488.36
"잠실필라테스",14875,1133.8
"신촌필라테스",5101,1060.17
"역삼필라테스",5729,898.71
"홍대필라테스",12910,865.98
"잠실새내필라테스",2527,2281.77
"헬스타그램",4882370,6.97
"헬스",4200604,8.95
"잠실헬스",4692,4688.57
"강아지",12929488,8.78
"강남강아지분양",29833,201.94
"개린이",1802261,20.98
"개스타그램",10276047,8.18
"고양이",14381250,13.47
"냥스타그램",10471556,15.03
"댕댕이",4388714,19.4
"독스타그램",6090530,15.2
"멍스타그램",18005361,10.35
"반려견",13830065,10.91
"펫스타그램",7540812,10
"가족여행",4202011,13.66
"말레이시아",454872,28.34
"방콕",1763944,31.64
"방콕여행",396174,17.23
"베트남",1913090,14.1
"베트남여행",382253,38.29
"부산여행",2790068,12.51
"싱가포르",480815,94.71
"제주도여행",3287917,8.07
"여행에미치다",5414948,2.46
"제주여행",4276931,8.23
"유럽여행",3345548,19.21
"여행스타그램",21209318,5.97
"태국여행",419206,40.25
"일본여행",2756878,16.57
"치앙마이",245963,168.55
"태국",1820515,16.41
"가방",2489380,22.85
"남친선물",679052,112
"니트",1289168,56.99
"인피니트",1187642,60.75
"댄디",99152,358.95
"데일리룩",41844728,4.93
"모던룩",321074,54.62
"남자셔츠",79448,131.84
"셔츠",682760,35
"티셔츠",613565,68.1
"와이셔츠",18514,3096.46
"수트",447479,11.9
"스커트",506800,89.36
"스트릿패션",1538734,18.57
"시계",1466330,140.09
"악세사리",2116441,16.6
"이대악세사리",3378,193.97
"옷스타그램",17007663,8.08
"홍대옷가게",64312,100.96
"데일리원피스",67588,9.84
"커플룩",1922438,6.5
"패션스타그램",6370899,4.39
"패션피플",998157,3.45
"서울패션위크",329342,136.69
"하객룩",1496066,4.19
"훈남룩",16533,2738.36
"그림스타그램",1742434,20.6
"육아소통",20519554,3.08
"책스타그램",2446981,20.3
"슬랙스",306376,18.73
"신발",2191041,17.58
"여친룩",899937,49.9
"오오티디",27858200,1.52
"오피스룩",1212902,5.92
"옷",3364426,6.41
"강남옷가게",28362,1147
"랩원피스",94904,143.04
"일상룩",1337153,17.29
"자켓",655290,16.78
"청바지",1016736,61.22
"코디",4464074,18.03
"트렌치코트",383495,26.81
"인스타패션",1535451,8.92
"연예인패션",394934,9.72
"패피",2761493,24.36
"육아맘일상",1803369,12.79
"일상",173779359,0.75
"메이크업",3069588,2.6
"베이스메이크업",19486,211.22
"메이크업베이스",16501,434.92
"강남메이크업",26408,532.32
"홍대메이크업",17070,313.23
"뷰스타그램",1325198,10.54
"뷰티스타그램",3436706,3.19
"뷰티",5799869,2.12
"뷰티그램",779952,15.89
"손스타그램",2275818,42.59
"코덕",1524638,15.29
"코덕그램",18025,128.02
"화장품",2301824,9.57
"합정태국음식",121,4459.19
"해외여행",1518629,12.68
"호치민",342269,73.28
"호치민여행",42381,2160.77
"홍콩",2563183,31.68
"홍콩디저트",2769,2598.25
"강남붙임머리",198459,300.08
"강남반영구",397566,14.06
"강남눈썹문신",434266,36.71
"강남",11962126,3.7
"강남네일",247168,12.47
"강남맘",231962,14.51
"강남미용실",240881,43.74
"강남역미용실",73188,83.14
"강남카페",365364,38.78
"강남메이드테이블",716470,423.68
"강남자연눈썹",206288,234.82
"강남술집",442323,60.82
"강남데이트",107193,54.55
"강남속눈썹연장",167005,75.23
"강남속눈썹",194417,85.57
"내아이디는강남미인",38314,410.57
"강남꽃집",168031,24.32
"강남역반영구",16719,95.97
"강남반영구수강",32202,132.06
"강남반영구학원",73963,215.46
"강남메이드클럽",590447,87.72
"강남타투",186570,51.96
"강남헤어라인",32413,436.12
"강남네일샵",87208,189.49
"강남핫플레이스",76741,270.66
"강남속눈썹펌",70993,85.76
"강남회식장소",34118,37.03
"강남꽃배달",37475,76.29
"강남반영구눈썹",14635,298.11
"강남역데이트",57354,74.99
"강남미용실추천",16583,134.51
"클럽강남메이드",194591,666.57
"강남눈썹반영구",28842,338.54
"강남메이드게스트신청",199509,682.91
"강남역속눈썹",42247,186.01
"강남남자눈썹문신",17039,201.2
"강남이자카야",24673,107.12
"강남메이드무료입장",415336,884.78
"강남구청",98346,54.22
"강남왁싱",112157,162.92
"강남데이트코스",27055,291.47
"강남역회식장소",39319,60.88
"강남한복",16728,2825.34
"강남반영구화장",92099,210.42
"강남pt",54907,361.09
"강남뷰러펌",8027,192.13
"강남피부과",24743,597.79
"강남회식",21729,779.56
"강남플라워레슨",40547,104.14
"강남역클럽",55274,70.82
"강남역네일샵",54670,587.46
"강남구청역맛집",30912,314.01
"강남메이드테이블예약",188821,548.19
"강남클럽",3172599,58.64
"강남구",124021,65.79
"강남눈썹",99016,157.19
"강남구청역",71619,361.01
"강남역술집",96068,23.66
"강남역눈썹문신",14194,442.36
"강남메이드",2735493,82.74
"강남프로필사진",24495,1359.63
"강남클럽메이드",304944,99.83
"강남곱창",21385,1159.87
"강남마카롱",16279,489.92
"강남남자눈썹",13406,577.3
"강남구청맛집",38632,481.51
"강변역맛집",11751,239.05
"강변역",25591,3216.53
"강변역초밥",100,1807.99
"건대입구",397351,73.87
"건대입구맛집",50267,441.54
"건대입구역맛집",12952,528.6
"건대입구역",46034,306.13
"건대입구술집",1680,126.86
"건대입구카페",4089,3443.98
"롯데시네마건대입구",4562,2050.97
"건대입구네일",2401,3103.08
"건대입구데이트",448,230.64
"건대입구핫플",42,100.93
"건대입구왁싱",69,2585.7
"건대입구원룸",156,4270.66
"건대입구삼겹살",22,5566.11
"건대입구양꼬치",30,4030.99
