tag,x,y
"가디건",644167,0.58
"롱가디건",54291,0.02
"기본티",103576,0.16
"남친룩",874565,1.33
"롱드레스",26524,0.02
"박서준",700783,0.32
"지오지아박서준",10158,0.02
"박서준패션",4635,0
"블라우스",918764,1.36
"빈티지",2395223,0.87
"합정빈티지샵",1468,0
"스니커즈",735804,0.34
"여친선물",1082562,1.12
"속옷",245661,0.12
"운동화",1036632,1.03
"원피스",3121010,2.4
"롱원피스",517167,0.66
"데일리코디",2964325,1.32
"코트",762495,0.52
"남자코트",70233,0.02
"패션",19873085,4.01
"데일리패션",1940598,0.68
"패션위크",270566,0.17
"패피남",145678,0.23
"훈남",2615611,1.27
"공스타그램",2410427,1.31
"북스타그램",2418017,0
"코덕소통",9601,0.02
"육아일상",4245888,4.48
"밥스타그램",952394,0.9
"빵스타그램",2034545,0.46
"술스타그램",9829838,3.35
"요리",3530556,1.5
"요리스타그램",2541564,0.01
"음식",3139548,2.34
"음식스타그램",1452145,0.95
"인스타푸드",2578908,1.68
"커피스타그램",3335362,2.28
"쿡스타그램",1364369,0.4
"푸드",916123,0.52
"푸드스타그램",3155373,0.6
"혼밥",1675494,0.55
"홈쿡",2538126,0
"도치맘",13596456,5.24
"독박육아",1900948,1.66
"등원룩",2845944,4.46
"딸맘",5091411,4.99
"딸바보",7044149,3.79
"딸스타그램",17993031,5.95
"맘스타그램",15242028,2.93
"문센룩",1706058,2.86
"베이비그램",4378732,3.35
"베이비스타그램",6102951,2.54
"아기스타그램",4684585,4
"아들맘",9533358,3.39
"아들바보",4648978,2.09
"아들스타그램",15446136,1.71
"애스타그램",16026399,4.52
"예비맘",2303826,0.76
"워킹맘",5231211,4.57
"육아스타그램",24163166,6.43
"육아템",1589132,3.41
"육아일기",5119827,4.64
"육아그램",3887572,3.6
"육아",26787731,6.07
"육아맘",14486084,6.27
"젊줌마",9170397,4.86
"줌마스타그램",2380766,1.05
"줌스타그램",2780006,0.82
"초보맘",2402082,2.45
"다이어트",13866599,5.39
"식단",1373987,1.86
"요가",1888443,1.87
"잠실요가",7391,0.02
"신촌요가",3004,0.01
"운동하는남자",3562920,2.11
"운동하는여자",5699714,3.98
"운동",10418383,4.7
"전신샷",2825720,0.96
"필라테스",2145287,0.53
"강남필라테스",50653,0.04
"선릉필라테스",3937,0.01
"왕십리필라테스",3476,0.01
"잠실필라테스",14875,0.02
"신촌필라테스",5101,0.01
"역삼필라테스",5729,0.01
"홍대필라테스",12910,0.01
"잠실새내필라테스",2527,0
"헬스타그램",4882370,1.85
"헬스",4200604,1.58
"잠실헬스",4692,0.01
"강아지",12929488,3.04
"강남강아지분양",29833,0.03
"개린이",1802261,1.26
"개스타그램",10276047,4.45
"고양이",14381250,5.4
"냥스타그램",10471556,4.41
"댕댕이",4388714,5.14
"독스타그램",6090530,2.42
"멍스타그램",18005361,4.57
"반려견",13830065,5.35
"펫스타그램",7540812,3.94
"가족여행",4202011,1.27
"말레이시아",454872,0.19
"방콕",1763944,0.98
"방콕여행",396174,0.24
"베트남",1913090,1.46
"베트남여행",382253,0.63
"부산여행",2790068,0.83
"싱가포르",480815,0.2
"제주도여행",3287917,2.57
"여행에미치다",5414948,3.47
"제주여행",4276931,3.8
"유럽여행",3345548,2.37
"여행스타그램",21209318,4.03
"태국여행",419206,0.37
"일본여행",2756878,0.01
"치앙마이",245963,0.15
"태국",1820515,0.58
"가방",2489380,1.33
"남친선물",679052,0.32
"니트",1289168,0.37
"인피니트",1187642,0.14
"댄디",99152,0.04
"데일리룩",41844728,2.46
"모던룩",321074,0.52
"남자셔츠",79448,0.13
"셔츠",682760,0.26
"티셔츠",613565,0.72
"와이셔츠",18514,0.01
"수트",447479,0.42
"스커트",506800,0.33
"스트릿패션",1538734,0.64
"시계",1466330,0.36
"악세사리",2116441,0.47
"이대악세사리",3378,0
"옷스타그램",17007663,4.8
"홍대옷가게",64312,0.27
"데일리원피스",67588,0.14
"커플룩",1922438,2.18
"패션스타그램",6370899,4.08
"패션피플",998157,1.21
"서울패션위크",329342,0.09
"하객룩",1496066,1.86
"훈남룩",16533,0.01
"그림스타그램",1742434,0.7
"육아소통",20519554,5.98
"책스타그램",2446981,2.18
"슬랙스",306376,0.45
"신발",2191041,1.76
"여친룩",899937,1.48
"오오티디",27858200,3.88
"오피스룩",1212902,1.22
"옷",3364426,1.99
"강남옷가게",28362,0.06
"랩원피스",94904,0.13
"일상룩",1337153,1.44
"자켓",655290,1.38
"청바지",1016736,1.35
"코디",4464074,1.4
"트렌치코트",383495,0.42
"인스타패션",1535451,1.58
"연예인패션",394934,0.61
"패피",2761493,1.23
"육아맘일상",1803369,1.76
"일상",173779359,4.23
beauty,311184001,4.93
makeup,227600366,5.89
"메이크업",3069588,1.94
"베이스메이크업",19486,0.03
"메이크업베이스",16501,0.02
"강남메이크업",26408,0.03
"홍대메이크업",17070,0.01
"뷰스타그램",1325198,1.61
"뷰티스타그램",3436706,3.49
"뷰티",5799869,4.17
"뷰티그램",779952,0.47
"손스타그램",2275818,0.43
"코덕",1524638,0.6
"코덕그램",18025,0.03
"화장품",2301824,1.83
"합정태국음식",121,0
"해외여행",1518629,0
"호치민",342269,0.34
"호치민여행",42381,0.07
"홍콩",2563183,0.45
"홍콩디저트",2769,0
"강남붙임머리",198459,0.52
"강남반영구",397566,0.36
"강남눈썹문신",434266,0.32
"강남",11962126,2.8
"강남네일",247168,0.49
"강남맘",231962,0.62
"강남미용실",240881,0.19
"강남역미용실",73188,0.07
"강남카페",365364,0.4
"강남메이드테이블",716470,0.04
"강남자연눈썹",206288,0.17
"강남술집",442323,0.62
"강남데이트",107193,0.17
"강남속눈썹연장",167005,0.14
"강남속눈썹",194417,0.1
"내아이디는강남미인",38314,0.03
"강남꽃집",168031,0.19
"강남역반영구",16719,0.02
"강남반영구수강",32202,0.03
"강남반영구학원",73963,0.07
"강남메이드클럽",590447,0.09
"강남타투",186570,0.12
"강남헤어라인",32413,0.02
"강남네일샵",87208,0.09
"강남핫플레이스",76741,0.11
"강남속눈썹펌",70993,0.05
"강남회식장소",34118,0.06
"강남꽃배달",37475,0.05
"강남반영구눈썹",14635,0.03
"강남역데이트",57354,0.07
"강남미용실추천",16583,0.02
"클럽강남메이드",194591,0.11
"강남눈썹반영구",28842,0.02
"강남메이드게스트신청",199509,0.04
"강남역속눈썹",42247,0.04
"강남남자눈썹문신",17039,0.03
"강남이자카야",24673,0.05
"강남메이드무료입장",415336,0.04
"강남구청",98346,0.08
"강남왁싱",112157,0.07
"강남데이트코스",27055,0.02
"강남역회식장소",39319,0.07
"강남한복",16728,0.02
"강남반영구화장",92099,0.06
"강남pt",54907,0.04
"강남뷰러펌",8027,0.03
"강남피부과",24743,0.03
"강남회식",21729,0.05
"강남플라워레슨",40547,0.05
"강남역클럽",55274,0.2
"강남역네일샵",54670,0.04
"강남구청역맛집",30912,0.05
"강남메이드테이블예약",188821,0.02
"강남클럽",3172599,1.22
"강남구",124021,0.09
"강남눈썹",99016,0.05
"강남구청역",71619,0.04
"강남역술집",96068,0.5
"강남역눈썹문신",14194,0.02
"강남메이드",2735493,0.62
"강남프로필사진",24495,0.02
"강남클럽메이드",304944,0.02
"강남곱창",21385,0.01
"강남마카롱",16279,0.04
"강남남자눈썹",13406,0.03
"강남구청맛집",38632,0.03
"강변역맛집",11751,0.03
"강변역",25591,0.02
"강변역초밥",100,0
"건대입구",397351,0.85
"건대입구맛집",50267,0.58
"건대입구역맛집",12952,0.55
"건대입구역",46034,0.04
"건대입구술집",1680,0
"건대입구카페",4089,0
"롯데시네마건대입구",4562,0
"건대입구네일",2401,0.01
"건대입구데이트",448,0
"건대입구핫플",42,0
"건대입구왁싱",69,0
"건대입구원룸",156,0
"건대입구삼겹살",22,0
"건대입구양꼬치",30,0
"건대입구피자",10,0
"교대",178596,0.14
"교대역맛집",20012,0.03
"교대속눈썹",11809,0.01
"교대맛집",58241,0.04
"교대카페",11465,0.02
"교대역",54444,0.04
"교대네일",32022,0.03
"서울교대",12430,0.02
"교대꽃집",13926,0.01
"교대반영구",1402,0
"교대생",4807,0.01
"교대속눈썹연장",1008,0
"교대이층집",14467,0.01
"교대마사지",895,0
"교대점심",735,0
"교대가죽공방",824,0
"교대치과",581,0
"교대역속눈썹",286,0
"교대역마사지",420,0
"교대역치과",4023,0
"교대전자담배",171,0
"교대사무실",16,0
"구디",99883,0.08
"대구디저트",34534,0.05
"대구디저트카페",20980,0.05
"구디맛집",52577,0.06
"구디속눈썹",4155,0.01
"구디카페",6744,0.01
"구디역",7224,0
"구디pt",2237,0
"구디술집",3976,0
"구디속눈썹연장",2290,0
