tag,x,y
"가디건",644167,28
"롱가디건",54291,1
"기본티",103576,7
"남친룩",874565,101
"롱드레스",26524,4
"박서준",700783,28
"지오지아박서준",10158,2
"박서준패션",4635,0
"블라우스",918764,88
"빈티지",2395223,15
"합정빈티지샵",1468,0
"스니커즈",735804,8
"여친선물",1082562,51
"속옷",245661,5
"운동화",1036632,24
"원피스",3121010,39
"롱원피스",517167,22
"데일리코디",2964325,35
"코트",762495,10
"남자코트",70233,5
"패션",19873085,53
"데일리패션",1940598,18
"패션위크",270566,11
"패피남",145678,9
"훈남",2615611,51
"공스타그램",2410427,17
"북스타그램",2418017,0
"코덕소통",9601,4
"육아일상",4245888,74
"밥스타그램",952394,27
"빵스타그램",2034545,17
"술스타그램",9829838,95
"요리",3530556,45
"요리스타그램",2541564,0
"음식",3139548,43
"음식스타그램",1452145,33
"인스타푸드",2578908,50
"커피스타그램",3335362,68
"쿡스타그램",1364369,16
"푸드",916123,18
"푸드스타그램",3155373,14
"혼밥",1675494,15
"홈쿡",2538126,0
"도치맘",13596456,72
"독박육아",1900948,83
"등원룩",2845944,126
"딸맘",5091411,60
"딸바보",7044149,80
"딸스타그램",17993031,49
"맘스타그램",15242028,110
"문센룩",1706058,46
"베이비그램",4378732,93
"베이비스타그램",6102951,52
"아기스타그램",4684585,87
"아들맘",9533358,66
"아들바보",4648978,48
"아들스타그램",15446136,64
"애스타그램",16026399,96
"예비맘",2303826,30
"워킹맘",5231211,137
"육아스타그램",24163166,213
"육아템",1589132,143
"육아일기",5119827,137
"육아그램",3887572,62
"육아",26787731,50
"육아맘",14486084,46
"젊줌마",9170397,188
"줌마스타그램",2380766,36
"줌스타그램",2780006,22
"초보맘",2402082,57
"다이어트",13866599,32
"식단",1373987,75
"요가",1888443,64
"잠실요가",7391,1
"신촌요가",3004,0
"운동하는남자",3562920,124
"운동하는여자",5699714,69
"운동",10418383,62
"전신샷",2825720,49
"필라테스",2145287,21
"강남필라테스",50653,6
"선릉필라테스",3937,2
"왕십리필라테스",3476,1
"잠실필라테스",14875,1
"신촌필라테스",5101,1
"역삼필라테스",5729,1
"홍대필라테스",12910,1
"잠실새내필라테스",2527,0
"헬스타그램",4882370,45
"헬스",4200604,25
"잠실헬스",4692,1
"강아지",12929488,52
"강남강아지분양",29833,3
"개린이",1802261,33
"개스타그램",10276047,83
"고양이",14381250,43
"냥스타그램",10471556,57
"댕댕이",4388714,93
"독스타그램",6090530,64
"멍스타그램",18005361,54
"반려견",13830065,52
"펫스타그램",7540812,75
"가족여행",4202011,22
"말레이시아",454872,18
"방콕",1763944,33
"방콕여행",396174,14
"베트남",1913090,37
"베트남여행",382253,25
"부산여행",2790068,24
"싱가포르",480815,12
"제주도여행",3287917,206
"여행에미치다",5414948,96
"제주여행",4276931,76
"유럽여행",3345548,69
"여행스타그램",21209318,61
"태국여행",419206,21
"일본여행",2756878,0
"치앙마이",245963,8
"태국",1820515,19
"가방",2489380,31
"남친선물",679052,77
"니트",1289168,23
"인피니트",1187642,9
"댄디",99152,4
"데일리룩",41844728,21
"모던룩",321074,28
"남자셔츠",79448,16
"셔츠",682760,13
"티셔츠",613565,7
"와이셔츠",18514,1
"수트",447479,23
"스커트",506800,14
"스트릿패션",1538734,17
"시계",1466330,10
"악세사리",2116441,27
"이대악세사리",3378,0
"옷스타그램",17007663,49
"홍대옷가게",64312,8
"데일리원피스",67588,8
"커플룩",1922438,107
"패션스타그램",6370899,109
"패션피플",998157,55
"서울패션위크",329342,14
"하객룩",1496066,123
"훈남룩",16533,1
"그림스타그램",1742434,19
"육아소통",20519554,92
"책스타그램",2446981,49
"슬랙스",306376,30
"신발",2191041,35
"여친룩",899937,65
"오오티디",27858200,38
"오피스룩",1212902,38
"옷",3364426,39
"강남옷가게",28362,3
"랩원피스",94904,10
"일상룩",1337153,41
"자켓",655290,48
"청바지",1016736,32
"코디",4464074,29
"트렌치코트",383495,34
"인스타패션",1535451,78
"연예인패션",394934,49
"패피",2761493,30
"육아맘일상",1803369,37
