tag,x,y
"가디건",644167,0.44
"롱가디건",54291,0.16
"기본티",103576,0.7
"남친룩",874565,1.15
"롱드레스",26524,1.4
"박서준",700783,0.4
"지오지아박서준",10158,1.71
"박서준패션",4635,0.52
"블라우스",918764,0.95
"빈티지",2395223,0.06
"합정빈티지샵",1468,0.59
"스니커즈",735804,0.12
"여친선물",1082562,0.47
"속옷",245661,0.19
"운동화",1036632,0.23
"원피스",3121010,0.12
"롱원피스",517167,0.42
"데일리코디",2964325,0.12
"코트",762495,0.13
"남자코트",70233,0.77
"패션",19873085,0.03
"데일리패션",1940598,0.09
"패션위크",270566,0.4
"패피남",145678,0.61
"훈남",2615611,0.19
"공스타그램",2410427,0.07
"북스타그램",2418017,0
"코덕소통",9601,3.87
"육아일상",4245888,0.17
"밥스타그램",952394,0.28
"빵스타그램",2034545,0.08
"술스타그램",9829838,0.1
"요리",3530556,0.13
"요리스타그램",2541564,0
"음식",3139548,0.14
"음식스타그램",1452145,0.23
"인스타푸드",2578908,0.2
"커피스타그램",3335362,0.2
"쿡스타그램",1364369,0.12
"푸드",916123,0.19
"푸드스타그램",3155373,0.05
"혼밥",1675494,0.09
"홈쿡",2538126,0
"도치맘",13596456,0.05
"독박육아",1900948,0.43
"등원룩",2845944,0.44
"딸맘",5091411,0.12
"딸바보",7044149,0.11
"딸스타그램",17993031,0.03
"맘스타그램",15242028,0.07
"문센룩",1706058,0.27
"베이비그램",4378732,0.21
"베이비스타그램",6102951,0.09
"아기스타그램",4684585,0.19
"아들맘",9533358,0.07
"아들바보",4648978,0.1
"아들스타그램",15446136,0.04
"애스타그램",16026399,0.06
"예비맘",2303826,0.13
"워킹맘",5231211,0.26
"육아스타그램",24163166,0.09
"육아템",1589132,0.9
"육아일기",5119827,0.27
"육아그램",3887572,0.16
"육아",26787731,0.02
"육아맘",14486084,0.03
"젊줌마",9170397,0.21
"줌마스타그램",2380766,0.15
"줌스타그램",2780006,0.08
"초보맘",2402082,0.24
"다이어트",13866599,0.02
"식단",1373987,0.54
"요가",1888443,0.34
"잠실요가",7391,0.8
"신촌요가",3004,1.26
"운동하는남자",3562920,0.35
"운동하는여자",5699714,0.12
"운동",10418383,0.06
"전신샷",2825720,0.17
"필라테스",2145287,0.1
"강남필라테스",50653,1.23
"선릉필라테스",3937,3.87
"왕십리필라테스",3476,4.22
"잠실필라테스",14875,0.8
"신촌필라테스",5101,2.31
"역삼필라테스",5729,1.54
"홍대필라테스",12910,0.55
"잠실새내필라테스",2527,1.93
"헬스타그램",4882370,0.09
"헬스",4200604,0.06
"잠실헬스",4692,1.74
"강아지",12929488,0.04
"강남강아지분양",29833,1.05
"개린이",1802261,0.18
"개스타그램",10276047,0.08
"고양이",14381250,0.03
"냥스타그램",10471556,0.05
"댕댕이",4388714,0.21
"독스타그램",6090530,0.11
"멍스타그램",18005361,0.03
"반려견",13830065,0.04
"펫스타그램",7540812,0.1
"가족여행",4202011,0.05
"말레이시아",454872,0.4
"방콕",1763944,0.19
"방콕여행",396174,0.36
"베트남",1913090,0.19
"베트남여행",382253,0.66
"부산여행",2790068,0.09
"싱가포르",480815,0.25
"제주도여행",3287917,0.63
"여행에미치다",5414948,0.18
"제주여행",4276931,0.18
"유럽여행",3345548,0.21
"여행스타그램",21209318,0.03
"태국여행",419206,0.49
"일본여행",2756878,0
"치앙마이",245963,0.31
"태국",1820515,0.11
"가방",2489380,0.13
"남친선물",679052,1.14
"니트",1289168,0.18
"인피니트",1187642,0.08
"댄디",99152,0.4
"데일리룩",41844728,0
"모던룩",321074,0.88
"남자셔츠",79448,1.97
"셔츠",682760,0.19
"티셔츠",613565,0.12
"와이셔츠",18514,0.48
"수트",447479,0.51
"스커트",506800,0.28
"스트릿패션",1538734,0.11
"시계",1466330,0.07
"악세사리",2116441,0.13
"이대악세사리",3378,0.14
"옷스타그램",17007663,0.03
"홍대옷가게",64312,1.17
"데일리원피스",67588,1.2
"커플룩",1922438,0.55
"패션스타그램",6370899,0.17
"패션피플",998157,0.55
"서울패션위크",329342,0.42
"하객룩",1496066,0.82
"훈남룩",16533,0.46
"그림스타그램",1742434,0.11
"육아소통",20519554,0.05
"책스타그램",2446981,0.2
"슬랙스",306376,0.98
"신발",2191041,0.16
"여친룩",899937,0.72
"오오티디",27858200,0.01
"오피스룩",1212902,0.32
"옷",3364426,0.11
"강남옷가게",28362,1.15
"랩원피스",94904,1.04
"일상룩",1337153,0.31
"자켓",655290,0.73
"청바지",1016736,0.31
"코디",4464074,0.06
"트렌치코트",383495,0.89
"인스타패션",1535451,0.51
"연예인패션",394934,1.23
"패피",2761493,0.11
"육아맘일상",1803369,0.21
"일상",173779359,0
beauty,311184001,0
makeup,227600366,0
"메이크업",3069588,0.16
"베이스메이크업",19486,3.6
"메이크업베이스",16501,2.84
