tag,x,y
"가디건",0.58,28
"롱가디건",0.02,1
"기본티",0.16,7
"남친룩",1.33,101
"롱드레스",0.02,4
"박서준",0.32,28
"지오지아박서준",0.02,2
"박서준패션",0,0
"블라우스",1.36,88
"빈티지",0.87,15
"합정빈티지샵",0,0
"스니커즈",0.34,8
"여친선물",1.12,51
"속옷",0.12,5
"운동화",1.03,24
"원피스",2.4,39
"롱원피스",0.66,22
"데일리코디",1.32,35
"코트",0.52,10
"남자코트",0.02,5
"패션",4.01,53
"데일리패션",0.68,18
"패션위크",0.17,11
"패피남",0.23,9
"훈남",1.27,51
"공스타그램",1.31,17
"북스타그램",0,0
"코덕소통",0.02,4
"육아일상",4.48,74
"밥스타그램",0.9,27
"빵스타그램",0.46,17
"술스타그램",3.35,95
"요리",1.5,45
"요리스타그램",0.01,0
"음식",2.34,43
"음식스타그램",0.95,33
"인스타푸드",1.68,50
"커피스타그램",2.28,68
"쿡스타그램",0.4,16
"푸드",0.52,18
"푸드스타그램",0.6,14
"혼밥",0.55,15
"홈쿡",0,0
"도치맘",5.24,72
"독박육아",1.66,83
"등원룩",4.46,126
"딸맘",4.99,60
"딸바보",3.79,80
"딸스타그램",5.95,49
"맘스타그램",2.93,110
"문센룩",2.86,46
"베이비그램",3.35,93
"베이비스타그램",2.54,52
"아기스타그램",4,87
"아들맘",3.39,66
"아들바보",2.09,48
"아들스타그램",1.71,64
"애스타그램",4.52,96
"예비맘",0.76,30
"워킹맘",4.57,137
"육아스타그램",6.43,213
"육아템",3.41,143
"육아일기",4.64,137
"육아그램",3.6,62
"육아",6.07,50
"육아맘",6.27,46
"젊줌마",4.86,188
"줌마스타그램",1.05,36
"줌스타그램",0.82,22
"초보맘",2.45,57
"다이어트",5.39,32
"식단",1.86,75
"요가",1.87,64
"잠실요가",0.02,1
"신촌요가",0.01,0
"운동하는남자",2.11,124
"운동하는여자",3.98,69
"운동",4.7,62
"전신샷",0.96,49
"필라테스",0.53,21
"강남필라테스",0.04,6
"선릉필라테스",0.01,2
"왕십리필라테스",0.01,1
"잠실필라테스",0.02,1
"신촌필라테스",0.01,1
"역삼필라테스",0.01,1
"홍대필라테스",0.01,1
"잠실새내필라테스",0,0
"헬스타그램",1.85,45
"헬스",1.58,25
"잠실헬스",0.01,1
"강아지",3.04,52
"강남강아지분양",0.03,3
"개린이",1.26,33
"개스타그램",4.45,83
"고양이",5.4,43
"냥스타그램",4.41,57
"댕댕이",5.14,93
"독스타그램",2.42,64
"멍스타그램",4.57,54
"반려견",5.35,52
"펫스타그램",3.94,75
"가족여행",1.27,22
"말레이시아",0.19,18
"방콕",0.98,33
"방콕여행",0.24,14
"베트남",1.46,37
"베트남여행",0.63,25
"부산여행",0.83,24
"싱가포르",0.2,12
"제주도여행",2.57,206
"여행에미치다",3.47,96
"제주여행",3.8,76
"유럽여행",2.37,69
"여행스타그램",4.03,61
"태국여행",0.37,21
"일본여행",0.01,0
"치앙마이",0.15,8
"태국",0.58,19
"가방",1.33,31
"남친선물",0.32,77
"니트",0.37,23
"인피니트",0.14,9
"댄디",0.04,4
"데일리룩",2.46,21
"모던룩",0.52,28
"남자셔츠",0.13,16
"셔츠",0.26,13
"티셔츠",0.72,7
"와이셔츠",0.01,1
"수트",0.42,23
"스커트",0.33,14
"스트릿패션",0.64,17
"시계",0.36,10
"악세사리",0.47,27
"이대악세사리",0,0
"옷스타그램",4.8,49
"홍대옷가게",0.27,8
"데일리원피스",0.14,8
"커플룩",2.18,107
"패션스타그램",4.08,109
"패션피플",1.21,55
"서울패션위크",0.09,14
"하객룩",1.86,123
"훈남룩",0.01,1
"그림스타그램",0.7,19
"육아소통",5.98,92
"책스타그램",2.18,49
"슬랙스",0.45,30
"신발",1.76,35
"여친룩",1.48,65
"오오티디",3.88,38
"오피스룩",1.22,38
"옷",1.99,39
"강남옷가게",0.06,3
"랩원피스",0.13,10
"일상룩",1.44,41
"자켓",1.38,48
"청바지",1.35,32
"코디",1.4,29
"트렌치코트",0.42,34
"인스타패션",1.58,78
"연예인패션",0.61,49
"패피",1.23,30
"육아맘일상",1.76,37
"일상",4.23,16
beauty,4.93,9
makeup,5.89,12
"메이크업",1.94,50
"베이스메이크업",0.03,7
"메이크업베이스",0.02,5
"강남메이크업",0.03,4
"홍대메이크업",0.01,1
"뷰스타그램",1.61,109
"뷰티스타그램",3.49,73
"뷰티",4.17,61
"뷰티그램",0.47,24
"손스타그램",0.43,29
"코덕",0.6,55
"코덕그램",0.03,5
"화장품",1.83,91
"합정태국음식",0,0
"해외여행",0,0
"호치민",0.34,11
"호치민여행",0.07,3
"홍콩",0.45,16
"홍콩디저트",0,0
"강남붙임머리",0.52,98
"강남반영구",0.36,69
"강남눈썹문신",0.32,57
"강남",2.8,43
"강남네일",0.49,41
"강남맘",0.62,37
"강남미용실",0.19,33
"강남역미용실",0.07,22
"강남카페",0.4,17
"강남메이드테이블",0.04,16
"강남자연눈썹",0.17,16
"강남술집",0.62,15
"강남데이트",0.17,14
"강남속눈썹연장",0.14,13
"강남속눈썹",0.1,13
"내아이디는강남미인",0.03,13
"강남꽃집",0.19,12
"강남역반영구",0.02,12
"강남반영구수강",0.03,12
"강남반영구학원",0.07,10
"강남메이드클럽",0.09,9
"강남타투",0.12,9
"강남헤어라인",0.02,9
"강남네일샵",0.09,8
"강남핫플레이스",0.11,8
"강남속눈썹펌",0.05,7
"강남회식장소",0.06,7
"강남꽃배달",0.05,7
"강남반영구눈썹",0.03,6
"강남역데이트",0.07,6
"강남미용실추천",0.02,6
"클럽강남메이드",0.11,6
"강남눈썹반영구",0.02,6
"강남메이드게스트신청",0.04,6
"강남역속눈썹",0.04,6
"강남남자눈썹문신",0.03,5
"강남이자카야",0.05,5
"강남메이드무료입장",0.04,5
"강남구청",0.08,5
"강남왁싱",0.07,5
"강남데이트코스",0.02,4
"강남역회식장소",0.07,4
"강남한복",0.02,4
"강남반영구화장",0.06,4
"강남pt",0.04,4
"강남뷰러펌",0.03,4
"강남피부과",0.03,4
"강남회식",0.05,4
"강남플라워레슨",0.05,4
"강남역클럽",0.2,4
"강남역네일샵",0.04,4
"강남구청역맛집",0.05,3
"강남메이드테이블예약",0.02,3
"강남클럽",1.22,3
"강남구",0.09,3
"강남눈썹",0.05,3
"강남구청역",0.04,3
"강남역술집",0.5,3
"강남역눈썹문신",0.02,3
"강남메이드",0.62,3
"강남프로필사진",0.02,3
"강남클럽메이드",0.02,3
"강남곱창",0.01,2
"강남마카롱",0.04,2
"강남남자눈썹",0.03,2
"강남구청맛집",0.03,2
"강변역맛집",0.03,3
"강변역",0.02,1
"강변역초밥",0,0
"건대입구",0.85,30
"건대입구맛집",0.58,9
"건대입구역맛집",0.55,4
"건대입구역",0.04,3
"건대입구술집",0,1
"건대입구카페",0,1
"롯데시네마건대입구",0,0
"건대입구네일",0.01,0
"건대입구데이트",0,0
"건대입구핫플",0,0
"건대입구왁싱",0,0
"건대입구원룸",0,0
"건대입구삼겹살",0,0
"건대입구양꼬치",0,0
"건대입구피자",0,0
"교대",0.14,7
"교대역맛집",0.03,4
"교대속눈썹",0.01,3
"교대맛집",0.04,3
"교대카페",0.02,2
"교대역",0.04,2
"교대네일",0.03,2
"서울교대",0.02,1
"교대꽃집",0.01,1
"교대반영구",0,1
"교대생",0.01,1
"교대속눈썹연장",0,1
"교대이층집",0.01,1
"교대마사지",0,0
"교대점심",0,0
"교대가죽공방",0,0
"교대치과",0,0
"교대역속눈썹",0,0
"교대역마사지",0,0
"교대역치과",0,0
"교대전자담배",0,0
"교대사무실",0,0
"구디",0.08,6
"대구디저트",0.05,5
"대구디저트카페",0.05,4
"구디맛집",0.06,3
"구디속눈썹",0.01,1
"구디카페",0.01,0
"구디역",0,0
"구디pt",0,0
"구디술집",0,0
"구디속눈썹연장",0,0
"구디미용실",0,0
"구디단",0,0
"구디역맛집",0,0
"구디점심",0,0
"구디왁싱",0,0
"구디단맛집",0,0
"구디파스타",0,0
"구디데이트",0,0
"구디직장인",0,0
"구디참치",0,0
"구의",0.04,3
"구의동맛집",0.03,2
"구의동",0.05,2
"구의맛집",0.02,2
"구의역",0.02,1
"구의동네일",0.01,1
"구의역맛집",0.02,1
"구의카페",0.01,1
"구의동꽃집",0.01,0
"구의술집",0,0
"구의역속눈썹",0,0
"구의공원",0,0
"구의동배달",0,0
"구의동맘",0,0
"낙성대맛집",0.06,9
"낙성대",0.15,7
"낙성대네일",0.02,3
"낙성대꽃집",0.01,2
"낙성대카페",0.02,2
"낙성대역",0.02,1
"낙성대미용실",0.01,1
"낙성대속눈썹",0,1
"낙성대공원",0.01,1
"낙성대역미용실",0,0
"낙성대동",0,0
"낙성대태닝",0,0
"낙성대족발",0,0
"낙성대연극",0,0
"당산",0.08,5
"당산역",0.03,2
"당산맛집",0.05,2
"당산역맛집",0.04,2
"당산동",0.01,1
"당산미용실",0,0
"당산역카페",0.01,0
"당산헬스",0,0
"당산빵집",0,0
"당산다이어트",0,0
"당산떡집",0,0
"당산안경",0,0
"대림",0.03,1
"성수동대림창고",0.01,1
"대림동",0.02,1
"대림역",0.01,0
"대림맛집",0.01,0
"대림동맛집",0.01,0
"대림역맛집",0,0
"대림훠궈",0,0
"대림동속눈썹",0,0
"대림웨딩홀",0,0
"대림맛집추천",0,0
"동대문역사문화공원",0.02,1
"동대문역사문화공원역",0.01,0
"동대문역사문화공원맛집",0,0
"동대문역사문화공원역맛집",0,0
"뚝섬",0.29,17
"뚝섬유원지",0.23,13
