tag,x,y
"가디건",28,0.44
"롱가디건",1,0.16
"기본티",7,0.7
"남친룩",101,1.15
"롱드레스",4,1.4
"박서준",28,0.4
"지오지아박서준",2,1.71
"박서준패션",0,0.52
"블라우스",88,0.95
"빈티지",15,0.06
"합정빈티지샵",0,0.59
"스니커즈",8,0.12
"여친선물",51,0.47
"속옷",5,0.19
"운동화",24,0.23
"원피스",39,0.12
"롱원피스",22,0.42
"데일리코디",35,0.12
"코트",10,0.13
"남자코트",5,0.77
"패션",53,0.03
"데일리패션",18,0.09
"패션위크",11,0.4
"패피남",9,0.61
"훈남",51,0.19
"공스타그램",17,0.07
"북스타그램",0,0
"코덕소통",4,3.87
"육아일상",74,0.17
"밥스타그램",27,0.28
"빵스타그램",17,0.08
"술스타그램",95,0.1
"요리",45,0.13
"요리스타그램",0,0
"음식",43,0.14
"음식스타그램",33,0.23
"인스타푸드",50,0.2
"커피스타그램",68,0.2
"쿡스타그램",16,0.12
"푸드",18,0.19
"푸드스타그램",14,0.05
"혼밥",15,0.09
"홈쿡",0,0
"도치맘",72,0.05
"독박육아",83,0.43
"등원룩",126,0.44
"딸맘",60,0.12
"딸바보",80,0.11
"딸스타그램",49,0.03
"맘스타그램",110,0.07
"문센룩",46,0.27
"베이비그램",93,0.21
"베이비스타그램",52,0.09
"아기스타그램",87,0.19
"아들맘",66,0.07
"아들바보",48,0.1
"아들스타그램",64,0.04
"애스타그램",96,0.06
"예비맘",30,0.13
"워킹맘",137,0.26
"육아스타그램",213,0.09
"육아템",143,0.9
"육아일기",137,0.27
"육아그램",62,0.16
"육아",50,0.02
"육아맘",46,0.03
"젊줌마",188,0.21
"줌마스타그램",36,0.15
"줌스타그램",22,0.08
"초보맘",57,0.24
"다이어트",32,0.02
"식단",75,0.54
"요가",64,0.34
"잠실요가",1,0.8
"신촌요가",0,1.26
"운동하는남자",124,0.35
"운동하는여자",69,0.12
"운동",62,0.06
"전신샷",49,0.17
"필라테스",21,0.1
"강남필라테스",6,1.23
"선릉필라테스",2,3.87
"왕십리필라테스",1,4.22
"잠실필라테스",1,0.8
"신촌필라테스",1,2.31
"역삼필라테스",1,1.54
"홍대필라테스",1,0.55
"잠실새내필라테스",0,1.93
"헬스타그램",45,0.09
"헬스",25,0.06
"잠실헬스",1,1.74
"강아지",52,0.04
"강남강아지분양",3,1.05
"개린이",33,0.18
"개스타그램",83,0.08
"고양이",43,0.03
"냥스타그램",57,0.05
"댕댕이",93,0.21
"독스타그램",64,0.11
"멍스타그램",54,0.03
"반려견",52,0.04
"펫스타그램",75,0.1
"가족여행",22,0.05
"말레이시아",18,0.4
"방콕",33,0.19
"방콕여행",14,0.36
"베트남",37,0.19
"베트남여행",25,0.66
"부산여행",24,0.09
"싱가포르",12,0.25
"제주도여행",206,0.63
"여행에미치다",96,0.18
"제주여행",76,0.18
"유럽여행",69,0.21
"여행스타그램",61,0.03
"태국여행",21,0.49
"일본여행",0,0
"치앙마이",8,0.31
"태국",19,0.11
"가방",31,0.13
"남친선물",77,1.14
"니트",23,0.18
"인피니트",9,0.08
"댄디",4,0.4
"데일리룩",21,0
"모던룩",28,0.88
"남자셔츠",16,1.97
"셔츠",13,0.19
"티셔츠",7,0.12
"와이셔츠",1,0.48
"수트",23,0.51
"스커트",14,0.28
"스트릿패션",17,0.11
"시계",10,0.07
"악세사리",27,0.13
"이대악세사리",0,0.14
"옷스타그램",49,0.03
"홍대옷가게",8,1.17
"데일리원피스",8,1.2
"커플룩",107,0.55
"패션스타그램",109,0.17
"패션피플",55,0.55
"서울패션위크",14,0.42
"하객룩",123,0.82
"훈남룩",1,0.46
"그림스타그램",19,0.11
"육아소통",92,0.05
"책스타그램",49,0.2
"슬랙스",30,0.98
"신발",35,0.16
"여친룩",65,0.72
"오오티디",38,0.01
"오피스룩",38,0.32
"옷",39,0.11
"강남옷가게",3,1.15
"랩원피스",10,1.04
"일상룩",41,0.31
"자켓",48,0.73
"청바지",32,0.31
"코디",29,0.06
"트렌치코트",34,0.89
"인스타패션",78,0.51
"연예인패션",49,1.23
"패피",30,0.11
"육아맘일상",37,0.21
"일상",16,0
beauty,9,0
makeup,12,0
"메이크업",50,0.16
"베이스메이크업",7,3.6
"메이크업베이스",5,2.84
"강남메이크업",4,1.51
