topPostAverStayTime totalPostCount
141.67 644167
2240.78 54291
585.98 103576
34.69 874565
1210.76 26524
46.3 700783
923.84 10158
5851.31 4635
6.77 918764
21.22 2395223
5103 1468
56.01 735804
31.36 1082562
151.49 245661
65.22 1036632
4.49 3121010
11.75 517167
15.32 2964325
82.68 762495
1493.04 70233
4.29 19873085
25.07 1940598
446.91 270566
68.16 145678
8.04 2615611
27.58 2410427
21.48 2418017
864.36 9601
5.2 4245888
20.46 952394
28.05 2034545
3.65 9829838
4.76 3530556
15.26 2541564
9.09 3139548
18.21 1452145
16.53 2578908
3.83 3335362
24.46 1364369
12 916123
12.1 3155373
22.77 1675494
5.51 2538126
13.01 13596456
12.58 1900948
24.64 2845944
4.15 5091411
5.52 7044149
2.91 17993031
4.7 15242028
9.47 1706058
10.61 4378732
5.13 6102951
4.31 4684585
6.18 9533358
9.34 4648978
10.84 15446136
2.93 16026399
22.57 2303826
6.26 5231211
1.91 24163166
7.55 1589132
6.87 5119827
7.73 3887572
4.02 26787731
5.46 14486084
3.72 9170397
35.21 2380766
44.59 2780006
4.78 2402082
2.26 13866599
4.53 1373987
11.75 1888443
2380.69 7391
1047.44 3004
13.84 3562920
2.41 5699714
2.66 10418383
11.21 2825720
11.6 2145287
745.69 50653
2033.41 3937
1488.36 3476
1133.8 14875
1060.17 5101
898.71 5729
865.98 12910
2281.77 2527
6.97 4882370
8.95 4200604
4688.57 4692
8.78 12929488
201.94 29833
20.98 1802261
8.18 10276047
13.47 14381250
15.03 10471556
19.4 4388714
15.2 6090530
10.35 18005361
10.91 13830065
10 7540812
13.66 4202011
28.34 454872
31.64 1763944
17.23 396174
14.1 1913090
38.29 382253
12.51 2790068
94.71 480815
8.07 3287917
2.46 5414948
8.23 4276931
19.21 3345548
5.97 21209318
40.25 419206
16.57 2756878
168.55 245963
16.41 1820515
22.85 2489380
112 679052
56.99 1289168
60.75 1187642
358.95 99152
4.93 41844728
54.62 321074
131.84 79448
35 682760
68.1 613565
3096.46 18514
11.9 447479
89.36 506800
18.57 1538734
140.09 1466330
16.6 2116441
193.97 3378
8.08 17007663
100.96 64312
9.84 67588
6.5 1922438
4.39 6370899
3.45 998157
136.69 329342
4.19 1496066
2738.36 16533
20.6 1742434
3.08 20519554
20.3 2446981
18.73 306376
17.58 2191041
49.9 899937
1.52 27858200
5.92 1212902
6.41 3364426
1147 28362
143.04 94904
17.29 1337153
16.78 655290
61.22 1016736
18.03 4464074
26.81 383495
8.92 1535451
9.72 394934
24.36 2761493
12.79 1803369
0.75 173779359
2.37 311184001
1.49 227600366
2.6 3069588
211.22 19486
434.92 16501
532.32 26408
313.23 17070
10.54 1325198
3.19 3436706
2.12 5799869
15.89 779952
42.59 2275818
15.29 1524638
128.02 18025
9.57 2301824
4459.19 121
12.68 1518629
73.28 342269
2160.77 42381
31.68 2563183
2598.25 2769
300.08 198459
14.06 397566
36.71 434266
3.7 11962126
12.47 247168
14.51 231962
43.74 240881
83.14 73188
38.78 365364
423.68 716470
234.82 206288
60.82 442323
54.55 107193
75.23 167005
85.57 194417
410.57 38314
24.32 168031
95.97 16719
132.06 32202
215.46 73963
87.72 590447
51.96 186570
436.12 32413
189.49 87208
270.66 76741
85.76 70993
37.03 34118
76.29 37475
298.11 14635
74.99 57354
134.51 16583
666.57 194591
338.54 28842
682.91 199509
186.01 42247
201.2 17039
107.12 24673
884.78 415336
54.22 98346
162.92 112157
291.47 27055
60.88 39319
2825.34 16728
210.42 92099
361.09 54907
192.13 8027
597.79 24743
779.56 21729
104.14 40547
70.82 55274
587.46 54670
314.01 30912
548.19 188821
58.64 3172599
65.79 124021
157.19 99016
361.01 71619
23.66 96068
442.36 14194
82.74 2735493
1359.63 24495
99.83 304944
1159.87 21385
489.92 16279
577.3 13406
481.51 38632
239.05 11751
3216.53 25591
1807.99 100
73.87 397351
441.54 50267
528.6 12952
306.13 46034
126.86 1680
3443.98 4089
2050.97 4562
3103.08 2401
230.64 448
